ZipfianWorkload: start initializing zipfian variables, might take a while
Zipfian (Warm-Up) (epoch 22, progress 0.01%): UPDATE throughput 140.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 137.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 278.96 ops/sec
Zipfian (Warm-Up) (epoch 23, progress 0.01%): UPDATE throughput 155.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 135.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 291.96 ops/sec
Zipfian (Warm-Up) (epoch 24, progress 0.01%): UPDATE throughput 141.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 138.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 280.96 ops/sec
Zipfian (Warm-Up) (epoch 25, progress 0.01%): UPDATE throughput 129.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 144.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 274.96 ops/sec
Zipfian (Warm-Up) (epoch 26, progress 0.01%): UPDATE throughput 129.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 138.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 268.97 ops/sec
Zipfian (Warm-Up) (epoch 27, progress 0.01%): UPDATE throughput 139.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 132.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 272.97 ops/sec
Zipfian (Warm-Up) (epoch 28, progress 0.01%): UPDATE throughput 162.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 158.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 321.97 ops/sec
Zipfian (Warm-Up) (epoch 29, progress 0.01%): UPDATE throughput 140.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 131.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 272.97 ops/sec
Zipfian (Warm-Up) (epoch 30, progress 0.01%): UPDATE throughput 149.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 145.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 295.96 ops/sec
time's up!
Zipfian (Warm-Up): calculating overall performance metrics... (might take a while)
Zipfian (Warm-Up) overall: UPDATE throughput 134.05 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 127.38 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 261.43 ops/sec
Zipfian (Warm-Up) overall: UPDATE average latency 91079.69 ns, UPDATE p99 latency 216502.27 ns, INSERT average latency 0.00 ns, INSERT p99 latency 0.00 ns, READ average latency 62545412.90 ns, READ p99 latency 302054408.03 ns, SCAN average latency 0.00 ns, SCAN p99 latency 0.00 ns, READ_MODIFY_WRITE average latency 0.00 ns, READ_MODIFY_WRITE p99 latency 0.00 ns
ZipfianWorkload: start initializing zipfian variables, might take a while
Zipfian (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 34482.76 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 34482.76 ops/sec
Zipfian (epoch 1, progress 0.01%): UPDATE throughput 4157.39 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 3957.42 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 8114.81 ops/sec
Zipfian (epoch 2, progress 0.01%): UPDATE throughput 169.97 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 130.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 300.95 ops/sec
Zipfian (epoch 3, progress 0.01%): UPDATE throughput 167.97 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 183.97 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 351.95 ops/sec
Zipfian (epoch 4, progress 0.01%): UPDATE throughput 122.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 145.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 268.96 ops/sec
Zipfian (epoch 5, progress 0.01%): UPDATE throughput 173.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 179.97 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 353.95 ops/sec
Zipfian (epoch 6, progress 0.01%): UPDATE throughput 155.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 145.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 301.96 ops/sec
Zipfian (epoch 7, progress 0.01%): UPDATE throughput 128.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 164.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 293.96 ops/sec
Zipfian (epoch 8, progress 0.01%): UPDATE throughput 148.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 166.97 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 315.95 ops/sec
Zipfian (epoch 9, progress 0.01%): UPDATE throughput 154.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 186.97 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 341.95 ops/sec
Zipfian (epoch 10, progress 0.01%): UPDATE throughput 141.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 162.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 304.96 ops/sec
Zipfian (epoch 11, progress 0.01%): UPDATE throughput 118.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 137.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 256.96 ops/sec
Zipfian (epoch 12, progress 0.01%): UPDATE throughput 137.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 155.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 293.97 ops/sec
Zipfian (epoch 13, progress 0.01%): UPDATE throughput 130.98 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 156.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 287.96 ops/sec
Zipfian (epoch 14, progress 0.02%): UPDATE throughput 211.97 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 183.97 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 395.94 ops/sec
