LatestWorkload: start initializing zipfian variables, might take a while
Latest (Warm-Up) (epoch 22, progress 4.54%): UPDATE throughput 0.00 ops/sec, INSERT throughput 9994.92 ops/sec, READ throughput 191142.36 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 201137.28 ops/sec
Latest (Warm-Up) (epoch 23, progress 4.69%): UPDATE throughput 0.00 ops/sec, INSERT throughput 6024.30 ops/sec, READ throughput 115524.60 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 121548.90 ops/sec
Latest (Warm-Up) (epoch 24, progress 4.92%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8998.12 ops/sec, READ throughput 173593.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 182592.11 ops/sec
Latest (Warm-Up) (epoch 25, progress 5.10%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7344.30 ops/sec, READ throughput 137503.94 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 144848.24 ops/sec
Latest (Warm-Up) (epoch 26, progress 5.35%): UPDATE throughput 0.00 ops/sec, INSERT throughput 10212.93 ops/sec, READ throughput 193324.70 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 203537.63 ops/sec
Latest (Warm-Up) (epoch 27, progress 5.52%): UPDATE throughput 0.00 ops/sec, INSERT throughput 6859.29 ops/sec, READ throughput 128408.65 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 135267.93 ops/sec
Latest (Warm-Up) (epoch 28, progress 5.77%): UPDATE throughput 0.00 ops/sec, INSERT throughput 9994.68 ops/sec, READ throughput 187615.23 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 197609.92 ops/sec
Latest (Warm-Up) (epoch 29, progress 5.97%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7982.88 ops/sec, READ throughput 150235.97 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 158218.85 ops/sec
Latest (Warm-Up) (epoch 30, progress 6.19%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8850.85 ops/sec, READ throughput 169001.03 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 177851.88 ops/sec
time's up!
Latest (Warm-Up): calculating overall performance metrics... (might take a while)
Latest (Warm-Up) overall: UPDATE throughput 0.00 ops/sec, INSERT throughput 8250.77 ops/sec, READ throughput 156787.97 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 165038.74 ops/sec
Latest (Warm-Up) overall: UPDATE average latency 0.00 ns, UPDATE p99 latency 0.00 ns, INSERT average latency 56647.96 ns, INSERT p99 latency 88450.02 ns, READ average latency 46450.86 ns, READ p99 latency 84342.00 ns, SCAN average latency 0.00 ns, SCAN p99 latency 0.00 ns, READ_MODIFY_WRITE average latency 0.00 ns, READ_MODIFY_WRITE p99 latency 0.00 ns
LatestWorkload: start initializing zipfian variables, might take a while
Latest (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 0.00 ops/sec
Latest (epoch 1, progress 0.26%): UPDATE throughput 0.00 ops/sec, INSERT throughput 10473.14 ops/sec, READ throughput 198236.74 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 208709.89 ops/sec
Latest (epoch 2, progress 0.49%): UPDATE throughput 0.00 ops/sec, INSERT throughput 9301.14 ops/sec, READ throughput 173652.02 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 182953.17 ops/sec
Latest (epoch 3, progress 0.71%): UPDATE throughput 0.00 ops/sec, INSERT throughput 9067.11 ops/sec, READ throughput 169640.38 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 178707.49 ops/sec
Latest (epoch 4, progress 0.90%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7615.35 ops/sec, READ throughput 145308.65 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 152924.00 ops/sec
Latest (epoch 5, progress 1.16%): UPDATE throughput 0.00 ops/sec, INSERT throughput 10378.01 ops/sec, READ throughput 193665.82 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 204043.82 ops/sec
Latest (epoch 6, progress 1.35%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7602.77 ops/sec, READ throughput 147136.16 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 154738.93 ops/sec
Latest (epoch 7, progress 1.61%): UPDATE throughput 0.00 ops/sec, INSERT throughput 10332.85 ops/sec, READ throughput 193189.56 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 203522.41 ops/sec
Latest (epoch 8, progress 1.79%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7179.34 ops/sec, READ throughput 137471.35 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 144650.69 ops/sec
Latest (epoch 9, progress 2.02%): UPDATE throughput 0.00 ops/sec, INSERT throughput 9104.66 ops/sec, READ throughput 173560.49 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 182665.15 ops/sec
Latest (epoch 10, progress 2.20%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7286.05 ops/sec, READ throughput 140189.64 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 147475.68 ops/sec
Latest (epoch 11, progress 2.44%): UPDATE throughput 0.00 ops/sec, INSERT throughput 9572.99 ops/sec, READ throughput 182894.61 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 192467.60 ops/sec
Latest (epoch 12, progress 2.64%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7887.97 ops/sec, READ throughput 152934.12 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 160822.09 ops/sec
Latest (epoch 13, progress 2.86%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8885.00 ops/sec, READ throughput 167058.12 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 175943.12 ops/sec
Latest (epoch 14, progress 3.08%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8408.03 ops/sec, READ throughput 163116.24 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 171524.27 ops/sec
Latest (epoch 15, progress 3.29%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8501.67 ops/sec, READ throughput 162057.56 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 170559.22 ops/sec
Latest (epoch 16, progress 3.50%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8489.18 ops/sec, READ throughput 162241.26 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 170730.44 ops/sec
Latest (epoch 17, progress 3.71%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8316.87 ops/sec, READ throughput 159947.25 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 168264.12 ops/sec
Latest (epoch 18, progress 3.95%): UPDATE throughput 0.00 ops/sec, INSERT throughput 9142.63 ops/sec, READ throughput 178115.28 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 187257.91 ops/sec
Latest (epoch 19, progress 4.14%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8018.04 ops/sec, READ throughput 148840.14 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 156858.18 ops/sec
