ZipfianWorkload: start initializing zipfian variables, might take a while
Zipfian (Warm-Up) (epoch 22, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 2.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 88.99 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 90.99 ops/sec
Zipfian (Warm-Up) (epoch 23, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 4.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 91.99 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 95.99 ops/sec
Zipfian (Warm-Up) (epoch 24, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 4.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 99.99 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 103.99 ops/sec
Zipfian (Warm-Up) (epoch 25, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 3.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 83.99 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 86.99 ops/sec
Zipfian (Warm-Up) (epoch 26, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 4.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 78.99 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 82.99 ops/sec
Zipfian (Warm-Up) (epoch 27, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 7.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 88.99 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 95.99 ops/sec
Zipfian (Warm-Up) (epoch 28, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 2.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 97.99 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 99.99 ops/sec
Zipfian (Warm-Up) (epoch 29, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 6.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 77.99 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 83.99 ops/sec
Zipfian (Warm-Up) (epoch 30, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 3.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 75.99 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 78.99 ops/sec
time's up!
