Uniform (Warm-Up) (epoch 22, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 65.99 ops/sec, READ throughput 88.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 154.98 ops/sec
Uniform (Warm-Up) (epoch 23, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 57.99 ops/sec, READ throughput 75.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 133.98 ops/sec
Uniform (Warm-Up) (epoch 24, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 80.99 ops/sec, READ throughput 92.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 173.98 ops/sec
Uniform (Warm-Up) (epoch 25, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 102.99 ops/sec, READ throughput 87.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 190.98 ops/sec
Uniform (Warm-Up) (epoch 26, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 94.99 ops/sec, READ throughput 86.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 181.98 ops/sec
Uniform (Warm-Up) (epoch 27, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 101.99 ops/sec, READ throughput 96.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 198.97 ops/sec
Uniform (Warm-Up) (epoch 28, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 94.99 ops/sec, READ throughput 93.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 188.97 ops/sec
Uniform (Warm-Up) (epoch 29, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 97.99 ops/sec, READ throughput 101.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 199.97 ops/sec
Uniform (Warm-Up) (epoch 30, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 91.99 ops/sec, READ throughput 83.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 175.98 ops/sec
time's up!
Uniform (Warm-Up): calculating overall performance metrics... (might take a while)
Uniform (Warm-Up) overall: UPDATE throughput 0.00 ops/sec, INSERT throughput 85.22 ops/sec, READ throughput 85.65 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 170.87 ops/sec
Uniform (Warm-Up) overall: UPDATE average latency 0.00 ns, UPDATE p99 latency 0.00 ns, INSERT average latency 222453.08 ns, INSERT p99 latency 214000.81 ns, READ average latency 93011856.01 ns, READ p99 latency 301316574.22 ns, SCAN average latency 0.00 ns, SCAN p99 latency 0.00 ns, READ_MODIFY_WRITE average latency 0.00 ns, READ_MODIFY_WRITE p99 latency 0.00 ns
Uniform (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 16129.03 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 16129.03 ops/sec
Uniform (epoch 1, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 2655.63 ops/sec, READ throughput 2660.62 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 5316.25 ops/sec
Uniform (epoch 2, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 87.99 ops/sec, READ throughput 93.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 181.97 ops/sec
Uniform (epoch 3, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 72.99 ops/sec, READ throughput 101.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 174.98 ops/sec
Uniform (epoch 4, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 96.99 ops/sec, READ throughput 104.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 201.97 ops/sec
Uniform (epoch 5, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 100.99 ops/sec, READ throughput 104.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 205.97 ops/sec
Uniform (epoch 6, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 95.99 ops/sec, READ throughput 103.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 199.97 ops/sec
Uniform (epoch 7, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 124.98 ops/sec, READ throughput 94.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 219.97 ops/sec
Uniform (epoch 8, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 79.99 ops/sec, READ throughput 97.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 177.98 ops/sec
Uniform (epoch 9, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 109.98 ops/sec, READ throughput 95.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 205.97 ops/sec
Uniform (epoch 10, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 104.99 ops/sec, READ throughput 96.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 201.97 ops/sec
Uniform (epoch 11, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 102.98 ops/sec, READ throughput 103.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 206.97 ops/sec
Uniform (epoch 12, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 103.99 ops/sec, READ throughput 101.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 205.97 ops/sec
Uniform (epoch 13, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 132.98 ops/sec, READ throughput 106.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 239.97 ops/sec
Uniform (epoch 14, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 82.99 ops/sec, READ throughput 88.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 171.97 ops/sec
Uniform (epoch 15, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 91.99 ops/sec, READ throughput 99.98 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 191.97 ops/sec
Uniform (epoch 16, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 85.99 ops/sec, READ throughput 86.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 172.97 ops/sec
Uniform (epoch 17, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 97.99 ops/sec, READ throughput 81.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 179.98 ops/sec
Uniform (epoch 18, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 8.00 ops/sec, READ throughput 8.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 16.00 ops/sec
Uniform (epoch 19, progress 0.01%): UPDATE throughput 0.00 ops/sec, INSERT throughput 80.99 ops/sec, READ throughput 78.99 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 159.98 ops/sec
