--- wan_reader ---
ZipfianWorkload: start initializing zipfian variables, might take a while
Zipfian (Warm-Up) (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 0.00 ops/sec
Zipfian (Warm-Up) (epoch 1, progress 0.00%): UPDATE throughput 10.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 292.96 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 302.96 ops/sec
Zipfian (Warm-Up) (epoch 2, progress 0.00%): UPDATE throughput 22.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 463.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 485.92 ops/sec
Zipfian (Warm-Up) (epoch 3, progress 0.00%): UPDATE throughput 26.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 499.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 525.92 ops/sec
Zipfian (Warm-Up) (epoch 4, progress 0.00%): UPDATE throughput 16.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 448.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 464.93 ops/sec
Zipfian (Warm-Up) (epoch 5, progress 0.01%): UPDATE throughput 28.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 489.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 517.93 ops/sec
Zipfian (Warm-Up) (epoch 6, progress 0.01%): UPDATE throughput 20.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 505.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 525.92 ops/sec
Zipfian (Warm-Up) (epoch 7, progress 0.01%): UPDATE throughput 25.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 462.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 487.92 ops/sec
Zipfian (Warm-Up) (epoch 8, progress 0.01%): UPDATE throughput 31.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 557.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 588.91 ops/sec
Zipfian (Warm-Up) (epoch 9, progress 0.01%): UPDATE throughput 29.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 579.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 608.91 ops/sec
Zipfian (Warm-Up) (epoch 10, progress 0.01%): UPDATE throughput 28.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 576.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 604.91 ops/sec
Zipfian (Warm-Up) (epoch 11, progress 0.01%): UPDATE throughput 27.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 721.89 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 748.88 ops/sec
Zipfian (Warm-Up) (epoch 12, progress 0.02%): UPDATE throughput 28.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 618.90 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 646.90 ops/sec
Zipfian (Warm-Up) (epoch 13, progress 0.02%): UPDATE throughput 35.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 708.90 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 743.89 ops/sec
Zipfian (Warm-Up) (epoch 14, progress 0.02%): UPDATE throughput 38.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 633.90 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 672.90 ops/sec
Zipfian (Warm-Up) (epoch 15, progress 0.02%): UPDATE throughput 30.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 711.89 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 741.88 ops/sec
Zipfian (Warm-Up) (epoch 16, progress 0.02%): UPDATE throughput 47.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 829.89 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 877.88 ops/sec
Zipfian (Warm-Up) (epoch 17, progress 0.03%): UPDATE throughput 41.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 766.90 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 808.90 ops/sec
Zipfian (Warm-Up) (epoch 18, progress 0.03%): UPDATE throughput 54.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 865.87 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 920.86 ops/sec
Zipfian (Warm-Up) (epoch 19, progress 0.03%): UPDATE throughput 40.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 814.87 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 855.87 ops/sec
Zipfian (Warm-Up) (epoch 20, progress 0.03%): UPDATE throughput 41.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 848.87 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 890.86 ops/sec
Zipfian (Warm-Up) (epoch 21, progress 0.04%): UPDATE throughput 57.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 995.86 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1053.85 ops/sec
Zipfian (Warm-Up) (epoch 22, progress 0.04%): UPDATE throughput 42.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 820.87 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 863.87 ops/sec
Zipfian (Warm-Up) (epoch 23, progress 0.04%): UPDATE throughput 46.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 954.85 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1001.85 ops/sec
Zipfian (Warm-Up) (epoch 24, progress 0.04%): UPDATE throughput 59.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 988.85 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1048.84 ops/sec
Zipfian (Warm-Up) (epoch 25, progress 0.04%): UPDATE throughput 48.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 894.87 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 943.86 ops/sec
Zipfian (Warm-Up) (epoch 26, progress 0.05%): UPDATE throughput 51.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1045.84 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1097.83 ops/sec
Zipfian (Warm-Up) (epoch 27, progress 0.05%): UPDATE throughput 58.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1182.81 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1241.80 ops/sec
Zipfian (Warm-Up) (epoch 28, progress 0.05%): UPDATE throughput 62.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1065.83 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1128.82 ops/sec
Zipfian (Warm-Up) (epoch 29, progress 0.06%): UPDATE throughput 54.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1132.84 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1187.83 ops/sec
Zipfian (Warm-Up) (epoch 30, progress 0.06%): UPDATE throughput 53.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1019.84 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1073.83 ops/sec
time's up!
Zipfian (Warm-Up): calculating overall performance metrics... (might take a while)
Zipfian (Warm-Up) overall: UPDATE throughput 38.73 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 750.15 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 788.88 ops/sec
