--- wan_reader ---
ZipfianWorkload: start initializing zipfian variables, might take a while
Zipfian (Warm-Up) (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 0.00 ops/sec
Zipfian (Warm-Up) (epoch 1, progress 0.00%): UPDATE throughput 9.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 306.95 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 315.95 ops/sec
Zipfian (Warm-Up) (epoch 2, progress 0.00%): UPDATE throughput 20.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 383.95 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 403.94 ops/sec
Zipfian (Warm-Up) (epoch 3, progress 0.00%): UPDATE throughput 24.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 431.94 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 455.94 ops/sec
Zipfian (Warm-Up) (epoch 4, progress 0.00%): UPDATE throughput 25.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 500.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 525.93 ops/sec
Zipfian (Warm-Up) (epoch 5, progress 0.01%): UPDATE throughput 21.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 478.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 499.93 ops/sec
Zipfian (Warm-Up) (epoch 6, progress 0.01%): UPDATE throughput 19.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 540.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 559.92 ops/sec
Zipfian (Warm-Up) (epoch 7, progress 0.01%): UPDATE throughput 22.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 483.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 505.93 ops/sec
Zipfian (Warm-Up) (epoch 8, progress 0.01%): UPDATE throughput 32.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 506.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 538.92 ops/sec
Zipfian (Warm-Up) (epoch 9, progress 0.01%): UPDATE throughput 26.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 550.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 576.92 ops/sec
Zipfian (Warm-Up) (epoch 10, progress 0.01%): UPDATE throughput 30.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 593.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 623.91 ops/sec
