Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
0.54,A,0.00,0.00,0.000,0.000,0,0,0
1.04,A,95.87,95.87,88.561,212.705,48,0,0
1.54,A,191.74,191.74,63.391,256.636,96,0,0
2.04,A,63.91,63.91,73.572,205.894,32,0,0
2.54,A,143.81,143.81,79.598,250.338,72,0,0
3.04,A,95.87,95.87,46.606,176.099,48,0,0
3.54,A,127.84,127.84,72.928,287.158,64,0,0
4.04,A,127.84,127.84,72.858,180.238,64,0,0
4.55,A,175.77,175.77,58.197,215.421,88,0,0
5.05,A,95.87,95.87,55.685,217.363,48,0,0
5.65,B,0.00,0.00,0.000,0.000,0,0,0
6.15,B,127.82,127.82,95.586,276.345,64,0,0
6.65,B,127.81,127.81,55.911,207.351,64,0,0
7.15,B,79.89,79.89,84.048,246.231,40,0,0
7.65,B,111.84,111.84,74.070,264.283,56,0,0
8.15,B,111.84,111.84,78.488,251.086,56,0,0
8.65,B,127.81,127.81,68.922,222.196,64,0,0
9.15,B,159.77,159.77,47.449,213.165,80,0,0
9.65,B,127.83,127.83,55.602,273.720,64,0,0
10.15,B,111.85,111.85,77.049,233.539,56,0,0
10.74,A,63.93,63.93,41.393,122.687,32,0,0
11.24,A,159.79,159.79,57.936,272.228,80,0,0
11.74,A,111.85,111.85,61.375,267.255,56,0,0
12.24,A,127.83,127.83,76.790,272.339,64,0,0
12.75,A,175.76,175.76,44.627,194.918,88,0,0
13.25,A,143.81,143.81,57.137,258.940,72,0,0
13.75,A,111.85,111.85,61.626,257.083,56,0,0
14.25,A,175.76,175.76,55.115,256.573,88,0,0
14.75,A,63.91,63.91,48.698,138.613,32,0,0
15.25,A,127.83,127.83,71.673,262.786,64,0,0
15.85,B,47.94,47.94,56.342,157.188,24,0,0
16.35,B,159.78,159.78,57.241,280.053,80,0,0
16.85,B,127.83,127.83,59.970,194.732,64,0,0
17.35,B,95.87,95.87,73.609,353.247,48,0,0
17.85,B,111.85,111.85,69.624,306.746,56,0,0
18.35,B,111.85,111.85,72.409,252.893,56,0,0
18.85,B,111.85,111.85,76.955,202.470,56,0,0
19.36,B,143.81,143.81,62.509,343.223,72,0,0
19.86,B,143.81,143.81,58.362,263.836,72,0,0
20.36,B,127.83,127.83,60.052,159.224,64,0,0
20.93,A,47.95,47.95,48.286,106.588,24,0,0
21.43,A,111.85,111.85,75.118,293.797,56,0,0
21.93,A,111.84,111.84,87.131,263.254,56,0,0
22.43,A,111.84,111.84,63.650,277.533,56,0,0
22.93,A,127.81,127.81,49.890,180.908,64,0,0
23.43,A,111.84,111.84,79.960,205.068,56,0,0
23.93,A,143.80,143.80,58.997,206.551,72,0,0
24.43,A,127.83,127.83,72.439,207.936,64,0,0
24.93,A,143.81,143.81,53.417,203.296,72,0,0
25.43,A,111.84,111.84,56.101,165.066,56,0,0
26.03,B,47.95,47.95,52.059,201.043,24,0,0
26.53,B,95.87,95.87,97.648,265.944,48,0,0
27.03,B,79.88,79.88,63.308,281.697,40,0,0
27.53,B,127.83,127.83,77.012,260.542,64,0,0
28.03,B,143.81,143.81,63.108,225.742,72,0,0
28.53,B,111.85,111.85,61.229,227.858,56,0,0
29.03,B,127.83,127.83,57.452,235.025,64,0,0
29.53,B,159.79,159.79,64.901,272.321,80,0,0
30.03,B,111.86,111.86,54.691,170.047,56,0,0
30.53,B,175.76,175.76,53.857,184.160,88,0,0
31.09,A,15.98,15.98,61.695,154.728,8,0,0
31.59,A,127.83,127.83,74.593,276.371,64,0,0
32.09,A,127.83,127.83,78.056,277.834,64,0,0
32.59,A,79.89,79.89,60.540,197.056,40,0,0
33.09,A,127.83,127.83,83.356,323.613,64,0,0
33.59,A,111.85,111.85,64.104,214.832,56,0,0
34.09,A,143.81,143.81,62.361,268.567,72,0,0
34.59,A,143.81,143.81,55.518,286.144,72,0,0
35.09,A,143.81,143.81,56.330,244.595,72,0,0
35.59,A,191.74,191.74,47.612,196.124,96,0,0
36.19,B,31.96,31.96,54.646,100.194,16,0,0
36.69,B,111.85,111.85,77.776,244.747,56,0,0
37.19,B,111.85,111.85,72.894,219.100,56,0,0
37.69,B,143.81,143.81,59.989,187.293,72,0,0
38.19,B,79.89,79.89,80.581,314.508,40,0,0
38.69,B,111.85,111.85,83.202,367.232,56,0,0
39.19,B,111.85,111.85,65.394,250.814,56,0,0
39.69,B,127.83,127.83,77.601,293.359,64,0,0
40.19,B,79.90,79.90,78.933,184.126,40,0,0
40.69,B,175.77,175.77,57.754,262.145,88,0,0
41.26,A,31.96,31.96,56.537,163.463,16,0,0
41.76,A,111.86,111.86,66.842,215.835,56,0,0
42.27,A,127.83,127.83,88.883,246.843,64,0,0
42.77,A,143.80,143.80,55.007,216.825,72,0,0
43.27,A,127.83,127.83,56.237,251.377,64,0,0
43.77,A,127.83,127.83,43.682,194.451,64,0,0
44.27,A,159.79,159.79,69.411,249.864,80,0,0
44.77,A,111.85,111.85,56.440,202.430,56,0,0
45.27,A,159.79,159.79,61.528,306.029,80,0,0
45.77,A,159.79,159.79,57.455,226.362,80,0,0
