Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
0.52,A,0.00,0.00,0.000,0.000,0,0,0
1.02,A,111.84,111.84,88.541,251.991,56,0,0
1.52,A,143.81,143.81,69.962,225.735,72,0,0
2.02,A,79.89,79.89,70.207,249.747,40,0,0
2.53,A,95.87,95.87,100.032,343.430,48,0,0
3.03,A,143.80,143.80,57.761,301.775,72,0,0
3.53,A,95.86,95.86,71.319,179.837,48,0,0
4.03,A,143.80,143.80,71.970,362.305,72,0,0
4.53,A,79.88,79.88,57.029,224.207,40,0,0
5.03,A,127.82,127.82,77.204,392.502,64,0,0
5.56,B,47.95,47.95,60.560,181.322,24,0,0
6.06,B,79.89,79.89,102.273,270.778,40,0,0
6.56,B,111.85,111.85,57.046,316.185,56,0,0
7.06,B,143.80,143.80,59.817,215.739,72,0,0
7.56,B,95.87,95.87,92.536,373.670,48,0,0
8.06,B,79.89,79.89,82.242,199.870,40,0,0
8.56,B,127.82,127.82,73.007,276.666,64,0,0
9.06,B,127.82,127.82,67.992,284.849,64,0,0
9.56,B,95.87,95.87,81.066,242.072,48,0,0
10.06,B,95.88,95.88,63.837,228.687,48,0,0
10.69,A,63.93,63.93,50.853,138.069,32,0,0
11.19,A,111.85,111.85,64.843,261.045,56,0,0
11.70,A,143.80,143.80,60.606,249.135,72,0,0
12.20,A,111.84,111.84,79.543,286.795,56,0,0
12.70,A,111.85,111.85,63.416,229.418,56,0,0
13.20,A,127.82,127.82,61.979,211.288,64,0,0
13.70,A,111.85,111.85,69.305,179.453,56,0,0
14.20,A,175.76,175.76,61.675,282.990,88,0,0
14.70,A,143.81,143.81,44.811,176.274,72,0,0
15.20,A,111.84,111.84,71.074,183.194,56,0,0
15.80,B,47.95,47.95,48.559,186.115,24,0,0
16.30,B,143.80,143.80,65.194,222.023,72,0,0
16.80,B,127.82,127.82,65.751,237.462,64,0,0
17.30,B,111.84,111.84,62.993,207.081,56,0,0
17.81,B,111.85,111.85,62.323,270.415,56,0,0
18.31,B,143.80,143.80,70.129,232.187,72,0,0
18.81,B,111.84,111.84,62.889,219.484,56,0,0
19.31,B,127.82,127.82,58.528,208.325,64,0,0
19.81,B,127.82,127.82,68.969,309.066,64,0,0
20.31,B,175.76,175.76,52.418,182.885,88,0,0
20.89,A,31.96,31.96,46.908,137.459,16,0,0
21.39,A,111.85,111.85,86.616,328.909,56,0,0
21.89,A,111.85,111.85,65.493,230.390,56,0,0
22.39,A,143.81,143.81,59.471,322.812,72,0,0
22.89,A,207.72,207.72,46.722,212.175,104,0,0
23.39,A,143.81,143.81,44.015,270.235,72,0,0
23.89,A,143.81,143.81,61.358,212.138,72,0,0
24.39,A,175.77,175.77,48.666,235.487,88,0,0
24.89,A,143.81,143.81,52.749,253.310,72,0,0
25.39,A,127.83,127.83,56.389,191.976,64,0,0
25.95,B,47.94,47.94,49.412,155.474,24,0,0
26.45,B,111.85,111.85,78.691,229.216,56,0,0
26.95,B,95.87,95.87,74.012,264.949,48,0,0
27.45,B,127.83,127.83,71.876,281.874,64,0,0
27.95,B,127.83,127.83,58.696,218.150,64,0,0
28.45,B,143.81,143.81,59.639,241.417,72,0,0
28.95,B,127.82,127.82,65.393,209.420,64,0,0
29.45,B,175.77,175.77,59.106,244.980,88,0,0
29.95,B,143.80,143.80,50.296,188.633,72,0,0
30.45,B,143.81,143.81,44.647,170.475,72,0,0
31.08,A,63.93,63.93,51.847,152.092,32,0,0
31.58,A,63.92,63.92,71.462,265.211,32,0,0
32.08,A,159.79,159.79,79.365,375.546,80,0,0
32.58,A,95.87,95.87,45.035,155.056,48,0,0
33.08,A,127.83,127.83,79.507,352.759,64,0,0
33.58,A,159.79,159.79,49.131,235.052,80,0,0
34.09,A,159.79,159.79,53.267,307.114,80,0,0
34.59,A,191.75,191.75,48.488,240.991,96,0,0
35.09,A,175.76,175.76,36.514,221.358,88,0,0
35.59,A,143.80,143.80,72.402,264.460,72,0,0
36.17,B,47.94,47.94,44.245,172.183,24,0,0
36.67,B,143.81,143.81,68.846,293.890,72,0,0
37.17,B,63.92,63.92,60.846,245.154,32,0,0
37.67,B,175.77,175.77,68.378,358.168,88,0,0
