Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
56.74,B,287.62,287.62,36.930,168.457,144,0,0
57.24,B,143.79,143.79,35.814,86.554,72,0,0
57.75,B,271.63,271.63,34.741,125.332,136,0,0
58.25,B,271.63,271.63,28.509,196.057,136,0,0
58.75,B,223.70,223.70,42.057,120.861,112,0,0
59.25,B,159.78,159.78,34.916,109.150,80,0,0
59.75,B,319.57,319.57,30.707,95.797,160,0,0
60.25,B,255.64,255.64,31.162,107.564,128,0,0
60.75,B,319.54,319.54,26.879,128.061,160,0,0
61.32,A,271.68,271.68,24.684,171.578,136,0,0
61.82,A,175.76,175.76,31.981,199.748,88,0,0
62.32,A,159.78,159.78,50.192,118.688,80,0,0
62.82,A,175.76,175.76,47.167,115.039,88,0,0
63.32,A,191.74,191.74,45.018,114.566,96,0,0
63.82,A,223.68,223.68,32.268,90.225,112,0,0
64.32,A,287.60,287.60,34.793,70.345,144,0,0
64.82,A,223.69,223.69,28.865,153.777,112,0,0
65.32,A,399.44,399.44,25.273,192.913,200,0,0
65.83,A,271.61,271.61,25.827,85.814,136,0,0
66.34,B,207.75,207.75,26.175,139.114,104,0,0
66.84,B,191.71,191.71,42.541,149.572,96,0,0
67.34,B,175.76,175.76,37.397,104.335,88,0,0
67.84,B,319.56,319.56,33.085,135.939,160,0,0
68.34,B,255.65,255.65,27.193,169.068,128,0,0
68.84,B,223.69,223.69,36.346,141.731,112,0,0
69.34,B,303.58,303.58,27.974,166.684,152,0,0
69.84,B,239.66,239.66,33.427,133.083,120,0,0
70.34,B,351.52,351.52,20.803,101.054,176,0,0
70.84,B,255.64,255.64,32.719,141.250,128,0,0
71.35,A,191.78,191.78,28.569,189.539,96,0,0
71.85,A,207.71,207.71,31.634,177.567,104,0,0
72.35,A,223.67,223.67,40.689,172.022,112,0,0
72.85,A,207.71,207.71,42.911,117.618,104,0,0
73.36,A,271.63,271.63,29.419,78.041,136,0,0
73.86,A,271.62,271.62,29.647,95.945,136,0,0
74.36,A,239.67,239.67,31.076,110.140,120,0,0
74.86,A,319.56,319.56,27.469,138.219,160,0,0
75.36,A,271.62,271.62,26.127,205.186,136,0,0
75.86,A,255.64,255.64,35.655,178.120,128,0,0
76.42,B,223.74,223.74,26.651,177.936,112,0,0
76.92,B,175.76,175.76,38.189,199.549,88,0,0
77.42,B,175.75,175.75,46.005,121.910,88,0,0
77.92,B,239.63,239.63,36.151,110.795,120,0,0
78.42,B,239.65,239.65,32.276,96.240,120,0,0
78.92,B,143.80,143.80,42.285,177.772,72,0,0
79.42,B,271.63,271.63,40.319,177.610,136,0,0
79.92,B,303.58,303.58,24.799,142.259,152,0,0
80.43,B,367.49,367.49,23.931,112.401,184,0,0
80.93,B,287.59,287.59,26.480,92.931,144,0,0
81.46,A,175.80,175.80,23.553,156.084,88,0,0
81.97,A,223.69,223.69,43.948,312.605,112,0,0
82.47,A,175.77,175.77,39.757,104.069,88,0,0
82.97,A,255.62,255.62,33.872,110.608,128,0,0
83.47,A,239.64,239.64,35.273,98.375,120,0,0
83.97,A,207.71,207.71,35.959,163.310,104,0,0
84.47,A,239.67,239.67,29.684,157.838,120,0,0
84.97,A,239.67,239.67,37.670,228.426,120,0,0
85.47,A,319.56,319.56,23.094,185.940,160,0,0
85.97,A,383.45,383.45,24.979,196.720,192,0,0
86.49,B,191.78,191.78,24.241,179.201,96,0,0
86.99,B,159.78,159.78,46.836,258.525,80,0,0
87.49,B,207.72,207.72,40.942,113.589,104,0,0
87.99,B,207.71,207.71,44.481,132.999,104,0,0
88.49,B,207.69,207.69,36.367,98.740,104,0,0
88.99,B,271.62,271.62,31.664,98.481,136,0,0
89.50,B,303.58,303.58,27.144,124.613,152,0,0
90.00,B,255.65,255.65,25.630,193.067,128,0,0
90.50,B,319.49,319.49,32.564,125.979,160,0,0
91.00,B,287.59,287.59,27.004,92.929,144,0,0
91.55,A,175.79,175.79,29.370,161.914,88,0,0
92.05,A,207.72,207.72,42.285,199.832,104,0,0
92.55,A,207.72,207.72,35.485,102.192,104,0,0
93.05,A,255.64,255.64,32.846,75.212,128,0,0
93.55,A,255.63,255.63,29.318,70.075,128,0,0
94.05,A,351.46,351.46,25.473,98.773,176,0,0
94.55,A,239.66,239.66,32.760,131.944,120,0,0
95.05,A,303.58,303.58,26.916,132.139,152,0,0
95.55,A,351.51,351.51,22.535,85.103,176,0,0
96.05,A,255.65,255.65,31.872,109.119,128,0,0
96.59,B,159.81,159.81,36.390,173.182,80,0,0
97.09,B,191.74,191.74,40.387,207.330,96,0,0
97.59,B,111.84,111.84,47.317,149.913,56,0,0
98.10,B,191.74,191.74,52.879,177.998,96,0,0
98.60,B,255.66,255.66,37.402,132.922,128,0,0
99.10,B,239.66,239.66,33.350,95.270,120,0,0
99.60,B,191.71,191.71,35.686,78.282,96,0,0
100.10,B,271.63,271.63,31.533,134.863,136,0,0
100.60,B,287.60,287.60,28.953,111.675,144,0,0
101.10,B,335.52,335.52,22.076,106.482,168,0,0
101.63,A,159.81,159.81,29.256,228.916,80,0,0
102.13,A,223.69,223.69,35.986,195.719,112,0,0
102.63,A,191.74,191.74,49.718,136.353,96,0,0
103.13,A,255.65,255.65,33.342,91.751,128,0,0
103.63,A,223.69,223.69,32.272,102.115,112,0,0
104.13,A,239.69,239.69,31.229,89.731,120,0,0
104.63,A,239.64,239.64,34.520,147.702,120,0,0
105.13,A,271.58,271.58,29.371,132.874,136,0,0
105.63,A,303.55,303.55,26.876,134.143,152,0,0
106.14,A,319.55,319.55,27.574,138.426,160,0,0
106.69,B,207.76,207.76,24.175,198.682,104,0,0
107.19,B,143.80,143.80,45.943,224.338,72,0,0
107.69,B,143.81,143.81,62.036,147.213,72,0,0
108.19,B,239.67,239.67,38.583,105.790,120,0,0
108.69,B,207.71,207.71,36.205,118.313,104,0,0
109.19,B,239.66,239.66,33.739,86.308,120,0,0
109.69,B,223.69,223.69,35.840,117.892,112,0,0
110.19,B,271.56,271.56,32.084,112.601,136,0,0
110.69,B,223.66,223.66,33.176,167.509,112,0,0
111.19,B,335.54,335.54,26.659,129.783,168,0,0
111.73,A,95.89,95.89,33.910,156.754,48,0,0
112.23,A,223.70,223.70,46.406,174.107,112,0,0
112.73,A,143.80,143.80,44.621,148.706,72,0,0
113.23,A,239.68,239.68,42.225,109.353,120,0,0
113.73,A,191.73,191.73,37.544,99.972,96,0,0
114.23,A,191.74,191.74,39.434,106.122,96,0,0
114.73,A,239.67,239.67,34.041,100.004,120,0,0
115.23,A,271.64,271.64,33.443,134.310,136,0,0
115.73,A,303.53,303.53,26.414,106.042,152,0,0
116.23,A,319.49,319.49,25.816,172.826,160,0,0
116.80,B,207.76,207.76,26.603,165.823,104,0,0
117.30,B,175.75,175.75,38.208,213.049,88,0,0
117.80,B,191.73,191.73,46.762,140.723,96,0,0
118.30,B,191.74,191.74,38.447,104.847,96,0,0
118.80,B,159.78,159.78,44.087,97.622,80,0,0
119.30,B,239.67,239.67,43.569,156.518,120,0,0
119.80,B,255.65,255.65,32.099,90.211,128,0,0
120.30,B,287.60,287.60,29.448,123.134,144,0,0
120.80,B,287.59,287.59,24.111,104.819,144,0,0
121.31,B,367.43,367.43,25.079,113.251,184,0,0
121.85,A,175.80,175.80,27.014,174.079,88,0,0
122.35,A,159.79,159.79,48.201,205.667,80,0,0
122.86,A,175.76,175.76,45.904,128.351,88,0,0
123.36,A,239.67,239.67,37.520,105.310,120,0,0
123.86,A,223.69,223.69,35.629,103.770,112,0,0
124.36,A,239.66,239.66,34.952,109.752,120,0,0
124.86,A,223.69,223.69,36.701,128.994,112,0,0
125.36,A,255.65,255.65,33.727,104.882,128,0,0
125.86,A,271.62,271.62,28.068,104.716,136,0,0
126.36,A,319.52,319.52,25.792,149.282,160,0,0
126.95,B,159.81,159.81,23.436,162.951,80,0,0
127.45,B,175.76,175.76,50.816,244.619,88,0,0
127.95,B,191.74,191.74,39.506,100.322,96,0,0
128.45,B,207.71,207.71,42.341,106.668,104,0,0
128.95,B,239.67,239.67,39.205,112.444,120,0,0
129.45,B,191.74,191.74,33.930,178.318,96,0,0
129.95,B,239.66,239.66,38.553,109.973,120,0,0
130.45,B,271.63,271.63,26.837,92.857,136,0,0
130.96,B,271.62,271.62,31.675,144.735,136,0,0
131.46,B,367.48,367.48,22.224,95.138,184,0,0
131.98,A,191.77,191.77,26.646,151.683,96,0,0
132.49,A,175.74,175.74,43.065,160.035,88,0,0
132.99,A,207.72,207.72,42.569,112.302,104,0,0
133.49,A,159.78,159.78,44.070,106.126,80,0,0
133.99,A,255.65,255.65,37.805,87.165,128,0,0
134.49,A,159.78,159.78,36.587,69.959,80,0,0
134.99,A,287.60,287.60,35.948,137.477,144,0,0
135.49,A,287.60,287.60,28.546,107.524,144,0,0
135.99,A,319.53,319.53,23.962,146.572,160,0,0
136.49,A,303.56,303.56,24.012,121.229,152,0,0
137.02,B,95.89,95.89,45.526,188.876,48,0,0
137.52,B,143.78,143.78,53.979,185.345,72,0,0
138.02,B,223.67,223.67,38.516,140.712,112,0,0
138.52,B,207.71,207.71,35.580,86.117,104,0,0
139.02,B,271.62,271.62,35.818,96.981,136,0,0
139.52,B,175.76,175.76,40.234,95.933,88,0,0
140.02,B,271.63,271.63,32.168,87.517,136,0,0
140.52,B,223.68,223.68,35.687,173.895,112,0,0
141.02,B,287.61,287.61,28.138,120.454,144,0,0
141.53,B,319.54,319.54,24.669,102.471,160,0,0
142.10,A,239.72,239.72,18.691,123.072,120,0,0
142.60,A,159.78,159.78,45.119,146.556,80,0,0
143.10,A,191.71,191.71,46.118,95.713,96,0,0
143.60,A,223.69,223.69,41.912,126.402,112,0,0
144.10,A,175.76,175.76,39.523,130.890,88,0,0
144.60,A,207.71,207.71,42.680,124.110,104,0,0
145.10,A,223.70,223.70,35.541,135.463,112,0,0
145.61,A,223.69,223.69,36.205,120.484,112,0,0
146.11,A,335.54,335.54,26.294,108.610,168,0,0
146.61,A,255.63,255.63,26.600,124.118,128,0,0
147.13,B,143.83,143.83,30.669,135.019,72,0,0
147.63,B,175.77,175.77,45.853,252.832,88,0,0
148.13,B,191.73,191.73,47.608,124.707,96,0,0
148.63,B,191.70,191.70,41.591,153.886,96,0,0
149.13,B,207.71,207.71,37.202,98.313,104,0,0
149.63,B,191.74,191.74,38.112,132.300,96,0,0
150.13,B,223.69,223.69,36.586,136.446,112,0,0
150.63,B,255.66,255.66,32.968,144.000,128,0,0
151.13,B,287.60,287.60,31.634,121.947,144,0,0
151.63,B,399.44,399.44,21.025,134.662,200,0,0
152.21,A,175.80,175.80,31.239,149.825,88,0,0
152.72,A,159.79,159.79,50.672,205.170,80,0,0
153.22,A,159.79,159.79,49.768,138.551,80,0,0
153.72,A,143.80,143.80,45.853,115.283,72,0,0
154.22,A,207.69,207.69,43.432,143.498,104,0,0
154.72,A,191.74,191.74,40.049,108.717,96,0,0
155.22,A,239.56,239.56,37.671,118.217,120,0,0
155.72,A,223.68,223.68,34.890,148.567,112,0,0
156.22,A,287.61,287.61,29.087,185.916,144,0,0
156.72,A,303.56,303.56,27.137,97.069,152,0,0
157.29,B,143.83,143.83,28.207,196.358,72,0,0
157.79,B,223.70,223.70,48.698,203.728,112,0,0
158.29,B,175.76,175.76,41.361,129.981,88,0,0
158.79,B,191.74,191.74,38.029,92.425,96,0,0
159.29,B,143.77,143.77,48.743,136.327,72,0,0
159.80,B,239.63,239.63,39.248,129.452,120,0,0
160.30,B,239.67,239.67,34.838,122.718,120,0,0
160.80,B,335.54,335.54,23.644,96.654,168,0,0
161.30,B,319.53,319.53,26.128,123.611,160,0,0
161.80,B,319.58,319.58,23.080,103.480,160,0,0
162.33,A,223.74,223.74,21.977,147.597,112,0,0
162.83,A,159.78,159.78,49.911,197.100,80,0,0
163.33,A,159.78,159.78,46.206,121.867,80,0,0
163.83,A,175.76,175.76,49.350,135.629,88,0,0
164.33,A,191.74,191.74,45.505,146.088,96,0,0
164.83,A,191.68,191.68,41.235,107.147,96,0,0
165.33,A,159.75,159.75,44.427,109.385,80,0,0
165.84,A,351.51,351.51,27.203,124.923,176,0,0
166.34,A,319.55,319.55,24.842,106.523,160,0,0
166.84,A,303.58,303.58,27.780,96.040,152,0,0
167.43,B,191.78,191.78,21.943,184.883,96,0,0
167.93,B,223.69,223.69,43.919,212.782,112,0,0
168.43,B,159.78,159.78,45.278,111.460,80,0,0
168.93,B,191.74,191.74,37.541,93.547,96,0,0
169.43,B,207.71,207.71,40.493,117.783,104,0,0
169.93,B,207.71,207.71,37.822,88.495,104,0,0
170.43,B,287.56,287.56,33.216,130.160,144,0,0
170.93,B,271.60,271.60,31.387,126.740,136,0,0
171.44,B,367.48,367.48,20.649,123.287,184,0,0
171.94,B,255.64,255.64,29.800,130.368,128,0,0
172.51,A,239.72,239.72,25.276,165.949,120,0,0
173.01,A,159.78,159.78,45.928,124.794,80,0,0
173.52,A,159.78,159.78,44.657,144.503,80,0,0
174.02,A,223.69,223.69,40.533,100.344,112,0,0
174.52,A,175.76,175.76,43.958,101.157,88,0,0
175.02,A,239.66,239.66,35.955,122.269,120,0,0
175.52,A,239.65,239.65,30.815,99.447,120,0,0
176.02,A,351.45,351.45,27.136,133.890,176,0,0
176.52,A,351.50,351.50,19.874,101.631,176,0,0
177.02,A,255.64,255.64,26.801,109.418,128,0,0
177.57,B,159.81,159.81,39.389,162.098,80,0,0
178.07,B,207.72,207.72,34.873,142.340,104,0,0
178.57,B,207.72,207.72,38.200,104.778,104,0,0
179.07,B,239.67,239.67,36.072,101.210,120,0,0
179.57,B,175.76,175.76,41.910,207.084,88,0,0
180.07,B,303.54,303.54,29.570,81.021,152,0,0
180.57,B,207.71,207.71,34.949,135.069,104,0,0
181.07,B,287.59,287.59,30.398,192.618,144,0,0
181.57,B,271.58,271.58,24.360,152.660,136,0,0
182.07,B,271.62,271.62,33.627,114.928,136,0,0
