Time_Sec,Active_DB,Throughput_MBps
164.10,B,47.94
164.60,B,63.92
165.10,B,59.92
165.71,A,15.98
166.21,A,59.92
166.71,A,39.95
167.21,A,49.93
167.71,A,55.93
168.21,A,57.92
168.71,A,47.94
169.21,A,57.92
169.72,A,59.92
170.22,A,57.92
170.86,B,31.97
171.36,B,49.93
171.86,B,53.93
172.36,B,53.93
172.86,B,59.92
173.36,B,55.93
173.86,B,51.93
174.36,B,55.93
174.86,B,59.92
175.36,B,49.94
176.02,A,11.99
176.52,A,49.93
177.02,A,53.93
177.52,A,43.98
178.02,A,51.94
178.52,A,51.93
179.02,A,53.93
179.52,A,55.93
180.02,A,51.93
180.52,A,57.93
