Time_Sec,Active_DB,Throughput_MBps
145.30,A,23823.26
145.81,B,23508.96
146.31,B,23108.48
146.81,B,23013.53
147.31,B,23631.32
147.81,B,24162.62
148.31,B,23474.90
148.81,B,23610.56
149.31,B,23445.88
149.81,B,23498.25
150.31,B,23464.10
150.81,A,25345.00
151.32,A,24725.99
151.82,A,24194.75
152.32,A,24155.24
152.82,A,23242.93
153.32,A,23850.58
153.82,A,24154.50
154.32,A,23763.21
154.82,A,24003.19
155.32,A,23521.54
155.82,B,22614.45
156.32,B,22855.81
156.83,B,22853.60
157.33,B,22419.86
157.83,B,22896.04
158.33,B,23458.96
158.83,B,23301.57
159.33,B,22926.54
159.83,B,22990.73
160.33,B,23020.48
160.83,A,26312.17
161.33,A,24840.23
161.83,A,23328.91
162.34,A,23834.17
162.84,A,23365.74
163.34,A,23780.08
163.84,A,23343.66
164.34,A,23581.50
164.84,A,23089.62
165.34,A,23342.07
165.84,B,24051.98
166.34,B,23513.63
166.84,B,22977.89
167.34,B,23649.98
167.84,B,23135.20
168.34,B,23527.27
168.85,B,22882.35
169.35,B,23783.57
169.85,B,23329.27
170.35,B,23221.24
170.85,A,25046.01
171.35,A,23787.13
171.85,A,23585.91
172.35,A,23605.66
172.85,A,23994.41
173.35,A,23393.31
173.85,A,23367.91
174.36,A,23732.16
174.86,A,23489.95
175.36,A,24783.40
175.86,B,23072.52
176.36,B,22793.84
176.86,B,23382.35
177.36,B,23027.16
177.86,B,24122.95
178.36,B,23274.86
178.86,B,23867.61
179.36,B,23363.10
179.86,B,23956.11
180.37,B,23815.96
