Time_Sec,Active_DB,Throughput_MBps
162.92,B,77.90
163.42,B,73.90
163.92,B,71.91
164.50,A,53.94
165.00,A,55.93
165.50,A,57.92
166.00,A,57.92
166.50,A,59.91
167.00,A,65.91
167.50,A,61.92
168.00,A,79.89
168.50,A,63.91
169.00,A,65.91
169.62,B,49.94
170.12,B,67.91
170.62,B,61.92
171.13,B,69.91
171.63,B,59.92
172.13,B,73.90
172.63,B,61.91
173.13,B,59.92
173.63,B,75.90
174.13,B,79.89
174.75,A,49.94
175.25,A,61.93
175.75,A,67.91
176.25,A,63.91
176.75,A,57.92
177.25,A,59.92
177.75,A,65.91
178.25,A,61.92
178.75,A,53.93
179.25,A,65.91
179.85,B,47.94
180.35,B,59.92
180.85,B,57.92
181.35,B,59.92
181.85,B,61.91
182.35,B,59.92
182.85,B,69.91
183.35,B,69.91
183.86,B,61.92
184.36,B,69.91
