--- wan_reader ---
ZipfianWorkload: start initializing zipfian variables, might take a while
Zipfian (Warm-Up) (epoch 22, progress 0.02%): UPDATE throughput 22.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 489.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 511.93 ops/sec
Zipfian (Warm-Up) (epoch 23, progress 0.02%): UPDATE throughput 21.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 519.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 540.91 ops/sec
Zipfian (Warm-Up) (epoch 24, progress 0.02%): UPDATE throughput 21.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 463.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 484.93 ops/sec
Zipfian (Warm-Up) (epoch 25, progress 0.02%): UPDATE throughput 34.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 582.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 616.91 ops/sec
Zipfian (Warm-Up) (epoch 26, progress 0.03%): UPDATE throughput 23.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 463.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 486.93 ops/sec
Zipfian (Warm-Up) (epoch 27, progress 0.03%): UPDATE throughput 39.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 585.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 625.91 ops/sec
Zipfian (Warm-Up) (epoch 28, progress 0.03%): UPDATE throughput 23.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 462.94 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 485.93 ops/sec
Zipfian (Warm-Up) (epoch 29, progress 0.03%): UPDATE throughput 37.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 626.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 664.90 ops/sec
Zipfian (Warm-Up) (epoch 30, progress 0.03%): UPDATE throughput 26.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 607.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 633.91 ops/sec
time's up!
Zipfian (Warm-Up): calculating overall performance metrics... (might take a while)
Zipfian (Warm-Up) overall: UPDATE throughput 19.76 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 396.04 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 415.80 ops/sec
Zipfian (Warm-Up) overall: UPDATE average latency 166199.60 ns, UPDATE p99 latency 321603.13 ns, INSERT average latency 0.00 ns, INSERT p99 latency 0.00 ns, READ average latency 10079975.10 ns, READ p99 latency 82910691.46 ns, SCAN average latency 0.00 ns, SCAN p99 latency 0.00 ns, READ_MODIFY_WRITE average latency 0.00 ns, READ_MODIFY_WRITE p99 latency 0.00 ns
ZipfianWorkload: start initializing zipfian variables, might take a while
Zipfian (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 0.00 ops/sec
Zipfian (epoch 1, progress 0.03%): UPDATE throughput 619.91 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 12424.19 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 13044.10 ops/sec
Zipfian (epoch 2, progress 0.03%): UPDATE throughput 44.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 846.88 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 891.87 ops/sec
Zipfian (epoch 3, progress 0.04%): UPDATE throughput 40.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 659.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 700.91 ops/sec
Zipfian (epoch 4, progress 0.04%): UPDATE throughput 46.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 826.89 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 873.88 ops/sec
Zipfian (epoch 5, progress 0.04%): UPDATE throughput 48.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 906.88 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 955.87 ops/sec
Zipfian (epoch 6, progress 0.04%): UPDATE throughput 44.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 818.89 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 863.89 ops/sec
Zipfian (epoch 7, progress 0.05%): UPDATE throughput 47.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 873.89 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 921.88 ops/sec
Zipfian (epoch 8, progress 0.05%): UPDATE throughput 47.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 979.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1026.90 ops/sec
Zipfian (epoch 9, progress 0.05%): UPDATE throughput 42.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 881.88 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 924.87 ops/sec
Zipfian (epoch 10, progress 0.05%): UPDATE throughput 52.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 870.87 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 923.86 ops/sec
Zipfian (epoch 11, progress 0.06%): UPDATE throughput 58.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1131.85 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1190.84 ops/sec
Zipfian (epoch 12, progress 0.06%): UPDATE throughput 46.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 932.87 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 979.87 ops/sec
Zipfian (epoch 13, progress 0.06%): UPDATE throughput 70.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1258.83 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1329.82 ops/sec
Zipfian (epoch 14, progress 0.06%): UPDATE throughput 62.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1115.85 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1178.84 ops/sec
Zipfian (epoch 15, progress 0.07%): UPDATE throughput 69.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1090.85 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1160.84 ops/sec
Zipfian (epoch 16, progress 0.07%): UPDATE throughput 58.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1142.85 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1201.84 ops/sec
Zipfian (epoch 17, progress 0.07%): UPDATE throughput 67.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1068.85 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1136.84 ops/sec
Zipfian (epoch 18, progress 0.08%): UPDATE throughput 62.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1156.85 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1219.84 ops/sec
Zipfian (epoch 19, progress 0.08%): UPDATE throughput 43.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 885.88 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 929.88 ops/sec
Zipfian (epoch 20, progress 0.08%): UPDATE throughput 37.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 813.89 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 851.88 ops/sec
Zipfian (epoch 21, progress 0.08%): UPDATE throughput 47.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 915.88 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 963.87 ops/sec
