--- wan_reader ---
ZipfianWorkload: start initializing zipfian variables, might take a while
Zipfian (Warm-Up) (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 0.00 ops/sec
Zipfian (Warm-Up) (epoch 1, progress 0.00%): UPDATE throughput 1.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 18.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 19.00 ops/sec
Zipfian (Warm-Up) (epoch 2, progress 0.00%): UPDATE throughput 1.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 11.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 12.00 ops/sec
Zipfian (Warm-Up) (epoch 3, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 23.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 23.00 ops/sec
Zipfian (Warm-Up) (epoch 4, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 28.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 28.00 ops/sec
Zipfian (Warm-Up) (epoch 5, progress 0.00%): UPDATE throughput 2.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 29.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 31.00 ops/sec
Zipfian (Warm-Up) (epoch 6, progress 0.00%): UPDATE throughput 2.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 29.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 31.00 ops/sec
Zipfian (Warm-Up) (epoch 7, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 27.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 27.00 ops/sec
Zipfian (Warm-Up) (epoch 8, progress 0.00%): UPDATE throughput 2.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 26.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 28.00 ops/sec
Zipfian (Warm-Up) (epoch 9, progress 0.00%): UPDATE throughput 1.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 28.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 29.00 ops/sec
Zipfian (Warm-Up) (epoch 10, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 30.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 30.00 ops/sec
