--- wan_reader ---
ZipfianWorkload: start initializing zipfian variables, might take a while
Zipfian (Warm-Up) (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 0.00 ops/sec
Zipfian (Warm-Up) (epoch 1, progress 0.00%): UPDATE throughput 9.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 209.96 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 218.96 ops/sec
Zipfian (Warm-Up) (epoch 2, progress 0.00%): UPDATE throughput 8.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 332.95 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 340.95 ops/sec
Zipfian (Warm-Up) (epoch 3, progress 0.00%): UPDATE throughput 25.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 367.95 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 392.95 ops/sec
Zipfian (Warm-Up) (epoch 4, progress 0.00%): UPDATE throughput 16.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 387.95 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 403.94 ops/sec
Zipfian (Warm-Up) (epoch 5, progress 0.00%): UPDATE throughput 28.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 494.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 522.93 ops/sec
Zipfian (Warm-Up) (epoch 6, progress 0.01%): UPDATE throughput 15.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 443.95 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 458.95 ops/sec
Zipfian (Warm-Up) (epoch 7, progress 0.01%): UPDATE throughput 21.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 489.94 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 510.94 ops/sec
Zipfian (Warm-Up) (epoch 8, progress 0.01%): UPDATE throughput 27.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 523.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 550.92 ops/sec
Zipfian (Warm-Up) (epoch 9, progress 0.01%): UPDATE throughput 30.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 509.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 539.93 ops/sec
Zipfian (Warm-Up) (epoch 10, progress 0.01%): UPDATE throughput 33.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 597.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 630.91 ops/sec
Zipfian (Warm-Up) (epoch 11, progress 0.01%): UPDATE throughput 24.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 632.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 656.93 ops/sec
Zipfian (Warm-Up) (epoch 12, progress 0.01%): UPDATE throughput 25.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 538.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 563.92 ops/sec
Zipfian (Warm-Up) (epoch 13, progress 0.02%): UPDATE throughput 20.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 557.94 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 577.94 ops/sec
Zipfian (Warm-Up) (epoch 14, progress 0.02%): UPDATE throughput 38.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 667.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 706.91 ops/sec
Zipfian (Warm-Up) (epoch 15, progress 0.02%): UPDATE throughput 37.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 653.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 691.91 ops/sec
Zipfian (Warm-Up) (epoch 16, progress 0.02%): UPDATE throughput 42.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 668.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 711.90 ops/sec
Zipfian (Warm-Up) (epoch 17, progress 0.02%): UPDATE throughput 21.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 727.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 748.93 ops/sec
Zipfian (Warm-Up) (epoch 18, progress 0.03%): UPDATE throughput 37.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 745.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 782.91 ops/sec
Zipfian (Warm-Up) (epoch 19, progress 0.03%): UPDATE throughput 52.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 805.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 858.91 ops/sec
Zipfian (Warm-Up) (epoch 20, progress 0.03%): UPDATE throughput 36.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 708.90 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 745.90 ops/sec
Zipfian (Warm-Up) (epoch 21, progress 0.03%): UPDATE throughput 53.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 950.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1004.90 ops/sec
Zipfian (Warm-Up) (epoch 22, progress 0.03%): UPDATE throughput 49.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 877.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 926.91 ops/sec
Zipfian (Warm-Up) (epoch 23, progress 0.04%): UPDATE throughput 45.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 913.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 958.91 ops/sec
Zipfian (Warm-Up) (epoch 24, progress 0.04%): UPDATE throughput 57.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 973.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1031.90 ops/sec
Zipfian (Warm-Up) (epoch 25, progress 0.04%): UPDATE throughput 53.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 984.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1037.90 ops/sec
Zipfian (Warm-Up) (epoch 26, progress 0.04%): UPDATE throughput 38.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 834.89 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 873.88 ops/sec
Zipfian (Warm-Up) (epoch 27, progress 0.05%): UPDATE throughput 54.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 997.90 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1052.90 ops/sec
Zipfian (Warm-Up) (epoch 28, progress 0.05%): UPDATE throughput 54.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 988.89 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1043.88 ops/sec
Zipfian (Warm-Up) (epoch 29, progress 0.05%): UPDATE throughput 55.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1063.85 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1119.84 ops/sec
Zipfian (Warm-Up) (epoch 30, progress 0.05%): UPDATE throughput 59.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1006.86 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1066.85 ops/sec
time's up!
Zipfian (Warm-Up): calculating overall performance metrics... (might take a while)
Zipfian (Warm-Up) overall: UPDATE throughput 35.76 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 688.76 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 724.52 ops/sec
Zipfian (Warm-Up) overall: UPDATE average latency 340304.07 ns, UPDATE p99 latency 310828.04 ns, INSERT average latency 0.00 ns, INSERT p99 latency 0.00 ns, READ average latency 5778682.43 ns, READ p99 latency 60372136.02 ns, SCAN average latency 0.00 ns, SCAN p99 latency 0.00 ns, READ_MODIFY_WRITE average latency 0.00 ns, READ_MODIFY_WRITE p99 latency 0.00 ns
ZipfianWorkload: start initializing zipfian variables, might take a while
Zipfian (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 0.00 ops/sec
Zipfian (epoch 1, progress 0.06%): UPDATE throughput 1094.88 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 21268.70 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 22363.58 ops/sec
Zipfian (epoch 2, progress 0.06%): UPDATE throughput 80.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1458.82 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1539.81 ops/sec
Zipfian (epoch 3, progress 0.06%): UPDATE throughput 87.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1466.80 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1554.79 ops/sec
Zipfian (epoch 4, progress 0.07%): UPDATE throughput 63.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1242.83 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1306.82 ops/sec
Zipfian (epoch 5, progress 0.07%): UPDATE throughput 86.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1367.86 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1454.85 ops/sec
Zipfian (epoch 6, progress 0.07%): UPDATE throughput 58.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1243.83 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1302.83 ops/sec
Zipfian (epoch 7, progress 0.08%): UPDATE throughput 79.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1240.83 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1320.82 ops/sec
Zipfian (epoch 8, progress 0.08%): UPDATE throughput 61.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1151.88 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1213.87 ops/sec
Zipfian (epoch 9, progress 0.08%): UPDATE throughput 60.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1168.88 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1229.87 ops/sec
Zipfian (epoch 10, progress 0.09%): UPDATE throughput 60.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1151.83 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1212.83 ops/sec
Zipfian (epoch 11, progress 0.09%): UPDATE throughput 70.99 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 1240.86 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 1311.86 ops/sec
