Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
0.52,A,0.00,0.00,0.000,0.000,0,0,0
1.02,A,47.94,47.94,113.430,304.337,24,0,0
1.52,A,95.87,95.87,133.636,406.969,48,0,0
2.02,A,79.89,79.89,75.801,411.801,40,0,0
2.53,A,95.86,95.86,70.265,198.588,48,0,0
3.03,A,63.91,63.91,85.482,186.933,32,0,0
3.53,A,63.91,63.91,138.441,534.871,32,0,0
4.03,A,95.86,95.86,114.722,534.568,48,0,0
4.53,A,79.88,79.88,88.198,229.732,40,0,0
5.03,A,95.86,95.86,104.339,440.953,48,0,0
5.59,B,0.00,0.00,0.000,0.000,0,0,0
6.09,B,47.93,47.93,109.883,260.936,24,0,0
6.59,B,95.87,95.87,138.374,352.355,48,0,0
7.09,B,95.86,95.86,65.709,217.507,48,0,0
7.59,B,111.84,111.84,102.279,311.905,56,0,0
8.09,B,63.91,63.91,81.415,252.487,32,0,0
8.60,B,95.87,95.87,102.942,333.914,48,0,0
9.10,B,79.89,79.89,87.062,238.423,40,0,0
9.60,B,95.87,95.87,95.872,321.051,48,0,0
10.10,B,95.86,95.86,81.221,245.382,48,0,0
10.79,A,111.87,111.87,34.702,230.394,56,0,0
11.29,A,79.89,79.89,81.865,334.411,40,0,0
11.80,A,79.89,79.89,89.486,344.589,40,0,0
12.30,A,127.82,127.82,71.445,316.985,64,0,0
12.80,A,95.86,95.86,81.976,287.354,48,0,0
13.30,A,79.88,79.88,71.804,216.164,40,0,0
13.80,A,111.84,111.84,97.320,299.066,56,0,0
14.30,A,111.84,111.84,74.447,225.716,56,0,0
14.80,A,79.88,79.88,77.199,212.972,40,0,0
15.30,A,95.86,95.86,91.730,222.469,48,0,0
15.89,B,47.94,47.94,45.702,172.908,24,0,0
16.39,B,111.84,111.84,77.112,262.959,56,0,0
16.89,B,127.82,127.82,70.715,266.586,64,0,0
17.39,B,95.87,95.87,55.712,258.356,48,0,0
17.89,B,79.89,79.89,118.820,537.782,40,0,0
18.39,B,95.87,95.87,85.594,301.380,48,0,0
18.89,B,95.87,95.87,92.658,245.431,48,0,0
