Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
0.52,A,0.00,0.00,0.000,0.000,0,0,0
1.02,A,15.98,15.98,98.408,172.881,8,0,0
1.52,A,111.85,111.85,137.216,319.746,56,0,0
2.02,A,111.85,111.85,93.635,353.681,56,0,0
2.52,A,95.87,95.87,64.629,195.632,48,0,0
3.02,A,47.94,47.94,74.642,203.396,24,0,0
3.52,A,143.81,143.81,106.654,331.051,72,0,0
4.02,A,47.94,47.94,96.274,411.574,24,0,0
4.52,A,127.83,127.83,78.157,313.476,64,0,0
5.02,A,111.85,111.85,85.780,235.640,56,0,0
5.63,B,0.00,0.00,0.000,0.000,0,0,0
6.13,B,47.93,47.93,110.564,303.195,24,0,0
6.63,B,95.87,95.87,137.366,324.432,48,0,0
7.13,B,95.86,95.86,85.598,252.660,48,0,0
7.63,B,63.91,63.91,99.398,372.520,32,0,0
8.13,B,95.87,95.87,95.626,259.750,48,0,0
8.63,B,95.86,95.86,77.456,268.853,48,0,0
9.13,B,79.89,79.89,88.650,412.262,40,0,0
9.63,B,111.84,111.84,91.033,275.175,56,0,0
10.13,B,111.84,111.84,75.301,262.533,56,0,0
10.72,A,63.93,63.93,29.239,152.049,32,0,0
11.22,A,127.82,127.82,70.513,242.339,64,0,0
11.72,A,127.82,127.82,65.387,244.081,64,0,0
12.22,A,79.88,79.88,80.223,262.814,40,0,0
12.72,A,79.89,79.89,76.916,280.612,40,0,0
13.22,A,111.84,111.84,89.614,416.604,56,0,0
13.72,A,95.87,95.87,88.212,285.736,48,0,0
14.22,A,111.84,111.84,76.502,244.807,56,0,0
14.72,A,95.87,95.87,79.955,289.984,48,0,0
15.22,A,127.82,127.82,65.973,253.820,64,0,0
15.76,B,15.98,15.98,58.788,104.914,8,0,0
16.27,B,143.79,143.79,77.126,304.084,72,0,0
16.77,B,159.77,159.77,62.611,256.534,80,0,0
17.27,B,95.86,95.86,59.731,190.893,48,0,0
17.77,B,95.86,95.86,60.834,271.263,48,0,0
18.27,B,143.80,143.80,70.683,280.451,72,0,0
18.77,B,95.86,95.86,65.656,214.409,48,0,0
19.27,B,111.84,111.84,80.435,315.274,56,0,0
19.77,B,111.84,111.84,79.624,248.833,56,0,0
20.27,B,79.89,79.89,81.518,201.677,40,0,0
20.82,A,15.98,15.98,49.627,101.715,8,0,0
21.32,A,111.85,111.85,73.408,298.794,56,0,0
21.82,A,95.86,95.86,90.598,347.252,48,0,0
22.32,A,111.84,111.84,87.385,348.872,56,0,0
22.82,A,127.82,127.82,60.575,251.848,64,0,0
23.32,A,111.84,111.84,60.765,186.153,56,0,0
23.83,A,175.75,175.75,60.616,271.633,88,0,0
24.33,A,111.84,111.84,59.348,182.720,56,0,0
24.83,A,127.82,127.82,55.002,194.236,64,0,0
25.33,A,111.84,111.84,80.467,256.699,56,0,0
26.01,B,0.00,0.00,0.000,0.000,0,0,0
26.51,B,159.78,159.78,85.108,302.122,80,0,0
27.01,B,79.89,79.89,58.358,183.711,40,0,0
27.51,B,143.86,143.86,73.129,228.991,72,0,0
28.01,B,63.91,63.91,79.414,185.130,32,0,0
28.51,B,111.84,111.84,77.117,216.796,56,0,0
29.01,B,111.84,111.84,57.394,194.614,56,0,0
29.51,B,143.79,143.79,71.375,232.411,72,0,0
30.01,B,143.79,143.79,60.015,247.443,72,0,0
30.51,B,127.81,127.81,66.422,249.710,64,0,0
31.08,A,31.96,31.96,52.774,141.382,16,0,0
31.58,A,95.87,95.87,67.137,237.047,48,0,0
32.08,A,143.79,143.79,75.087,330.533,72,0,0
32.58,A,143.80,143.80,63.937,233.321,72,0,0
33.08,A,95.93,95.93,73.845,261.514,48,0,0
33.59,A,127.82,127.82,63.921,234.210,64,0,0
34.09,A,143.79,143.79,60.694,278.749,72,0,0
34.59,A,127.81,127.81,56.850,260.124,64,0,0
