Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
0.52,A,0.00,0.00,0.000,0.000,0,0,0
1.02,A,15.98,15.98,117.057,193.294,8,0,0
1.52,A,95.87,95.87,154.502,387.732,48,0,0
2.02,A,127.82,127.82,85.716,311.079,64,0,0
2.52,A,95.87,95.87,55.992,184.367,48,0,0
3.02,A,79.89,79.89,75.341,267.437,40,0,0
3.52,A,111.84,111.84,114.390,437.200,56,0,0
4.02,A,95.87,95.87,79.327,295.392,48,0,0
4.52,A,79.89,79.89,74.556,189.311,40,0,0
5.02,A,95.86,95.86,86.574,305.844,48,0,0
5.62,B,0.00,0.00,0.000,0.000,0,0,0
6.12,B,47.94,47.94,111.672,298.608,24,0,0
6.62,B,63.91,63.91,150.951,348.810,32,0,0
7.12,B,111.85,111.85,95.554,291.755,56,0,0
7.62,B,63.91,63.91,92.450,331.849,32,0,0
8.12,B,111.85,111.85,86.636,316.638,56,0,0
8.62,B,79.89,79.89,100.894,346.209,40,0,0
9.12,B,63.91,63.91,120.760,472.701,32,0,0
9.62,B,95.87,95.87,98.849,296.908,48,0,0
10.12,B,95.87,95.87,73.478,238.609,48,0,0
10.73,A,111.87,111.87,42.595,209.468,56,0,0
11.23,A,143.81,143.81,49.793,252.139,72,0,0
11.73,A,111.85,111.85,55.873,240.692,56,0,0
12.23,A,127.83,127.83,56.626,249.847,64,0,0
12.73,A,95.87,95.87,82.529,320.966,48,0,0
13.23,A,111.84,111.84,74.360,317.772,56,0,0
13.73,A,95.87,95.87,90.297,259.630,48,0,0
14.23,A,127.82,127.82,66.975,208.812,64,0,0
14.73,A,143.80,143.80,69.190,226.270,72,0,0
15.23,A,79.89,79.89,61.532,206.056,40,0,0
15.89,B,15.98,15.98,40.363,92.469,8,0,0
16.39,B,159.79,159.79,70.097,257.366,80,0,0
16.89,B,31.95,31.95,79.913,206.389,16,0,0
17.39,B,143.85,143.85,92.945,363.552,72,0,0
17.89,B,95.87,95.87,70.440,223.032,48,0,0
18.39,B,95.87,95.87,82.607,264.891,48,0,0
18.89,B,111.85,111.85,63.926,268.073,56,0,0
19.39,B,95.87,95.87,87.077,268.913,48,0,0
19.89,B,111.85,111.85,85.072,273.100,56,0,0
20.39,B,79.90,79.90,72.371,218.273,40,0,0
20.98,A,15.98,15.98,50.935,164.023,8,0,0
21.48,A,95.87,95.87,89.961,243.651,48,0,0
