Time_Sec,DB,StartId,IsReaccess,CumulativeCountForStartId
0.052253007888793945,A,512,0,2
0.06973767280578613,A,0,0,1
0.1021575927734375,A,280377,1,1
0.13643479347229004,A,1280,0,5
0.16468167304992676,A,269813,1,1
0.17207002639770508,A,289772,1,1
0.17579865455627441,A,1792,0,7
0.18694639205932617,A,768,0,3
0.19523119926452637,A,293806,1,1
0.19562721252441406,A,768,0,2
0.20967769622802734,A,256,0,2
0.20975399017333984,A,256,0,1
0.21018195152282715,A,512,0,1
0.21057677268981934,A,768,0,1
0.21730446815490723,A,1536,0,7
0.21735405921936035,A,1536,0,4
0.21781039237976074,A,1792,0,8
0.21784043312072754,A,1792,0,4
0.23220419883728027,A,1024,0,3
0.2324063777923584,A,1024,0,4
0.23245763778686523,A,1024,0,1
0.2326526641845703,A,1024,0,2
0.23269414901733398,A,1280,0,4
0.23276209831237793,A,1280,0,1
0.23294353485107422,A,1280,0,2
0.23298931121826172,A,1536,0,3
0.2330160140991211,A,1536,0,1
0.23325324058532715,A,1792,0,3
0.233412504196167,A,1792,0,1
0.3106534481048584,A,415662,1,1
0.3354189395904541,A,256753,1,1
0.34665918350219727,A,274464,1,1
0.3470745086669922,A,1280,0,3
0.3643772602081299,A,2048,0,4
0.3647420406341553,A,2048,0,8
0.364793062210083,A,2048,0,1
0.3649406433105469,A,2048,0,3
0.3736283779144287,A,209679,1,1
0.37406063079833984,A,1536,0,2
0.3744945526123047,A,1792,0,2
0.37931156158447266,A,282413,1,1
0.3797297477722168,A,2048,0,7
0.4116525650024414,A,308321,1,1
0.4367244243621826,A,367666,1,1
0.4371531009674072,A,2048,0,2
0.44635725021362305,A,236864,1,1
0.4566366672515869,A,257076,1,1
0.4569132328033447,A,512,0,3
0.4815089702606201,A,167489,1,1
0.48187708854675293,A,1536,0,6
0.48213863372802734,A,1792,0,6
0.48244547843933105,A,2048,0,6
0.48658132553100586,A,2304,0,7
0.4866502285003662,A,2304,0,1
0.48674678802490234,A,2304,0,6
0.48680830001831055,A,2304,0,4
0.486905574798584,A,2304,0,5
0.4869873523712158,A,2304,0,2
0.4871058464050293,A,2560,0,7
0.48714137077331543,A,2560,0,6
0.48722243309020996,A,2560,0,5
0.48732900619506836,A,2560,0,4
0.4875001907348633,A,2560,0,1
0.504469633102417,A,319837,1,1
0.5047957897186279,A,768,0,4
0.519967794418335,A,274975,1,1
0.5202362537384033,A,2560,0,3
0.5873992443084717,A,273187,1,1
0.5878708362579346,A,1024,0,5
0.5894489288330078,A,279616,1,1
0.5898816585540771,A,2304,0,3
0.5903184413909912,A,2560,0,2
0.5956587791442871,A,284808,1,1
0.6132776737213135,A,305343,1,1
0.6229567527770996,A,2816,0,4
0.623023271560669,A,2816,0,7
0.6231372356414795,A,2816,0,3
0.6233692169189453,A,2816,0,5
0.6234622001647949,A,2816,0,1
0.6347231864929199,A,219411,1,1
0.6351232528686523,A,1280,0,6
0.6354851722717285,A,1536,0,5
0.6358249187469482,A,1792,0,5
0.6361501216888428,A,2048,0,5
0.6365025043487549,A,2304,0,8
0.6368706226348877,A,2560,0,8
0.6372075080871582,A,2816,0,8
0.6651408672332764,A,293257,1,1
0.6655771732330322,A,2816,0,2
0.7117464542388916,A,306646,1,1
0.7238695621490479,A,225529,1,1
0.7243142127990723,A,2816,0,6
0.7324473857879639,A,3072,0,6
0.7325394153594971,A,3072,0,1
0.732675313949585,A,3072,0,3
0.7327101230621338,A,3072,0,5
0.7327580451965332,A,3072,0,7
0.7329356670379639,A,3072,0,4
0.7329645156860352,A,3072,0,8
0.7410345077514648,A,151368,1,1
0.7414326667785645,A,3072,0,2
0.8057253360748291,A,272392,1,1
0.8132145404815674,A,287516,1,1
0.8188819885253906,A,3328,0,3
0.8190791606903076,A,3328,0,8
0.8192315101623535,A,3328,0,5
0.8195595741271973,A,3328,0,1
0.819657564163208,A,3328,0,4
0.8197221755981445,A,3328,0,6
0.8197529315948486,A,3328,0,7
0.8197808265686035,A,3328,0,2
0.8582069873809814,A,247471,1,1
0.8761909008026123,A,193538,1,1
0.8861782550811768,A,3584,0,3
0.8863811492919922,A,3584,0,7
0.8864169120788574,A,3584,0,2
0.8864529132843018,A,3584,0,5
0.8865644931793213,A,3584,0,6
0.8865931034088135,A,3584,0,1
0.8867080211639404,A,3584,0,4
0.8868188858032227,A,3584,0,8
0.9317059516906738,A,3840,0,3
0.9319195747375488,A,3840,0,2
0.9320073127746582,A,3840,0,1
0.9320902824401855,A,3840,0,4
0.9322118759155273,A,3840,0,6
0.9323339462280273,A,3840,0,7
0.9691329002380371,A,344560,1,1
0.9694719314575195,A,3840,0,8
0.9816131591796875,A,214448,1,1
0.988811731338501,A,304055,1,1
1.010493278503418,A,4096,0,5
1.0105257034301758,A,4096,0,6
1.0106139183044434,A,4096,0,8
1.0106415748596191,A,4096,0,7
1.0108745098114014,A,4096,0,1
1.0109782218933105,A,4096,0,2
1.0111589431762695,A,4096,0,3
1.018557071685791,A,287753,1,1
1.0348725318908691,A,272642,1,1
1.0590155124664307,A,250857,1,1
1.0592808723449707,A,3840,0,5
1.0594847202301025,A,4096,0,4
1.0690901279449463,A,4352,0,5
1.0692543983459473,A,4352,0,8
1.0692803859710693,A,4352,0,4
1.0693538188934326,A,4352,0,1
1.0694234371185303,A,4352,0,2
1.069476842880249,A,4352,0,7
1.0696420669555664,A,4352,0,3
1.0698325634002686,A,4352,0,6
1.092470645904541,A,123447,1,1
1.1059489250183105,A,4608,0,6
1.1059980392456055,A,4608,0,2
1.106187343597412,A,4608,0,3
1.1062922477722168,A,4608,0,7
1.106494665145874,A,4608,0,8
1.1066720485687256,A,4608,0,5
1.1067314147949219,A,4608,0,4
1.1270391941070557,A,277720,1,1
1.1273508071899414,A,4608,0,1
1.1535067558288574,A,214949,1,1
1.1645231246948242,A,265776,1,1
1.1833934783935547,A,4864,0,6
1.1835298538208008,A,4864,0,1
1.183661937713623,A,4864,0,2
1.1837236881256104,A,5120,0,5
1.1837708950042725,A,4864,0,7
1.1838223934173584,A,5120,0,1
1.183938980102539,A,4864,0,5
1.1839914321899414,A,4864,0,8
1.1840317249298096,A,5120,0,2
1.1841175556182861,A,5120,0,6
1.1841394901275635,A,4864,0,3
1.1842265129089355,A,4864,0,4
1.1843037605285645,A,5120,0,7
1.1844630241394043,A,5120,0,8
1.1847646236419678,A,287774,1,1
1.2231392860412598,A,336509,1,1
1.223383903503418,A,5120,0,4
1.2342145442962646,A,283534,1,1
1.2344565391540527,A,5120,0,3
1.25010085105896,A,5376,0,6
1.2502036094665527,A,5376,0,8
1.2502965927124023,A,5376,0,4
1.2503395080566406,A,5376,0,2
1.2503972053527832,A,5376,0,7
1.2504675388336182,A,5376,0,3
1.2505693435668945,A,5376,0,1
1.250654935836792,A,5376,0,5
1.2822716236114502,A,210808,1,1
1.3031859397888184,A,5632,0,3
1.3032455444335938,A,5632,0,2
1.3033480644226074,A,5632,0,5
1.3035192489624023,A,5632,0,6
1.303741455078125,A,5632,0,1
1.303849458694458,A,5632,0,4
1.3228569030761719,A,192406,1,1
1.323258638381958,A,5632,0,7
1.3563084602355957,A,186655,1,1
1.3646748065948486,A,287997,1,1
1.3673794269561768,A,234098,1,1
1.3677716255187988,A,5632,0,8
1.3721833229064941,A,269897,1,1
1.384918451309204,A,5888,0,7
1.3850712776184082,A,5888,0,4
1.3851170539855957,A,5888,0,1
1.3852663040161133,A,5888,0,5
1.3854107856750488,A,5888,0,6
1.3855116367340088,A,5888,0,2
1.3960316181182861,A,358854,1,1
1.3962609767913818,A,5888,0,8
1.4096579551696777,A,257339,1,1
1.410078525543213,A,5888,0,3
1.4330449104309082,A,256251,1,1
1.4513061046600342,A,6144,0,1
1.4514093399047852,A,6144,0,5
1.4514532089233398,A,6144,0,2
1.4515137672424316,A,6144,0,6
1.4515628814697266,A,6144,0,4
1.4516558647155762,A,6144,0,7
