Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
0.52,A,0.00,0.00,0.000,0.000,0,0,0
1.03,A,31.95,31.95,113.512,256.350,16,0,0
1.53,A,79.89,79.89,121.205,280.188,40,0,0
2.03,A,127.82,127.82,96.523,369.154,64,0,0
2.53,A,95.86,95.86,79.313,270.804,48,0,0
3.03,A,63.91,63.91,81.219,236.781,32,0,0
3.53,A,95.87,95.87,112.705,278.678,48,0,0
4.03,A,95.86,95.86,74.006,207.366,48,0,0
4.53,A,95.86,95.86,103.323,456.925,48,0,0
5.03,A,111.85,111.85,85.988,264.736,56,0,0
5.64,B,0.00,0.00,0.000,0.000,0,0,0
6.14,B,47.94,47.94,110.054,286.113,24,0,0
6.64,B,79.89,79.89,133.220,314.654,40,0,0
7.14,B,79.88,79.88,105.709,399.433,40,0,0
7.64,B,79.89,79.89,98.947,246.052,40,0,0
8.14,B,79.89,79.89,114.369,310.897,40,0,0
8.64,B,63.91,63.91,92.619,251.391,32,0,0
9.14,B,111.85,111.85,99.197,509.498,56,0,0
9.64,B,79.89,79.89,102.397,225.122,40,0,0
10.14,B,111.85,111.85,72.135,237.859,56,0,0
10.75,A,79.91,79.91,36.024,156.783,40,0,0
11.25,A,127.82,127.82,59.026,261.598,64,0,0
11.75,A,111.84,111.84,74.501,300.292,56,0,0
12.25,A,95.87,95.87,71.603,255.064,48,0,0
12.75,A,127.83,127.83,56.097,236.070,64,0,0
13.25,A,79.89,79.89,85.319,297.097,40,0,0
13.75,A,79.89,79.89,94.926,314.391,40,0,0
14.25,A,95.87,95.87,111.933,434.234,48,0,0
14.75,A,111.85,111.85,72.323,187.821,56,0,0
15.25,A,127.84,127.84,73.445,262.291,64,0,0
15.88,B,63.92,63.92,51.735,184.795,32,0,0
16.38,B,111.85,111.85,81.264,281.881,56,0,0
16.89,B,79.89,79.89,68.526,217.368,40,0,0
17.39,B,111.85,111.85,94.510,275.642,56,0,0
17.89,B,79.89,79.89,59.163,223.181,40,0,0
18.39,B,95.87,95.87,84.661,287.292,48,0,0
18.89,B,127.83,127.83,59.766,221.827,64,0,0
19.39,B,79.89,79.89,98.412,269.658,40,0,0
19.89,B,111.84,111.84,86.410,283.147,56,0,0
20.39,B,79.89,79.89,97.734,277.018,40,0,0
21.01,A,0.00,0.00,0.000,0.000,0,0,0
21.51,A,95.86,95.86,95.472,279.251,48,0,0
22.01,A,95.87,95.87,101.193,391.582,48,0,0
22.51,A,159.77,159.77,55.348,250.305,80,0,0
23.01,A,175.75,175.75,50.748,279.112,88,0,0
23.52,A,79.89,79.89,61.696,212.126,40,0,0
24.02,A,95.86,95.86,80.159,220.190,48,0,0
24.52,A,111.84,111.84,70.652,252.024,56,0,0
25.02,A,143.80,143.80,71.513,261.941,72,0,0
25.52,A,79.89,79.89,69.604,194.779,40,0,0
26.18,B,15.98,15.98,60.484,103.224,8,0,0
26.68,B,79.90,79.90,80.952,241.257,40,0,0
27.18,B,95.87,95.87,100.118,283.715,48,0,0
27.68,B,79.90,79.90,90.595,221.421,40,0,0
28.19,B,95.87,95.87,113.691,229.535,48,0,0
28.69,B,63.91,63.91,77.947,193.479,32,0,0
29.19,B,111.85,111.85,99.509,258.876,56,0,0
29.69,B,111.86,111.86,77.680,202.435,56,0,0
30.19,B,63.92,63.92,96.290,210.859,32,0,0
30.69,B,143.81,143.81,71.941,222.290,72,0,0
31.36,A,31.96,31.96,50.019,137.670,16,0,0
31.87,A,95.87,95.87,85.241,243.429,48,0,0
32.37,A,111.84,111.84,80.866,239.833,56,0,0
32.87,A,95.86,95.86,83.437,305.966,48,0,0
33.37,A,111.85,111.85,84.958,344.063,56,0,0
33.87,A,95.87,95.87,68.416,219.839,48,0,0
34.37,A,95.87,95.87,71.486,257.873,48,0,0
34.87,A,143.80,143.80,67.223,298.083,72,0,0
35.37,A,79.89,79.89,95.247,220.498,40,0,0
35.87,A,111.95,111.95,81.117,227.690,56,0,0
36.48,B,47.95,47.95,43.456,128.077,24,0,0
36.98,B,95.87,95.87,75.771,192.734,48,0,0
37.48,B,111.83,111.83,82.909,248.537,56,0,0
37.98,B,79.89,79.89,79.797,238.585,40,0,0
38.48,B,95.87,95.87,88.444,269.052,48,0,0
38.98,B,111.85,111.85,72.794,216.909,56,0,0
39.48,B,143.80,143.80,71.364,230.130,72,0,0
39.98,B,63.91,63.91,67.177,215.278,32,0,0
40.49,B,79.89,79.89,89.402,209.546,40,0,0
40.99,B,111.85,111.85,88.912,290.653,56,0,0
41.60,A,31.97,31.97,42.531,133.481,16,0,0
42.10,A,143.80,143.80,75.327,223.629,72,0,0
42.60,A,63.91,63.91,81.408,190.061,32,0,0
43.10,A,95.87,95.87,94.476,272.721,48,0,0
43.60,A,95.87,95.87,96.945,222.360,48,0,0
44.10,A,95.87,95.87,78.669,196.833,48,0,0
44.60,A,143.80,143.80,63.112,230.601,72,0,0
