Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
0.52,A,0.00,0.00,0.000,0.000,0,0,0
1.02,A,31.95,31.95,115.514,244.903,16,0,0
1.52,A,95.86,95.86,155.643,336.277,48,0,0
2.02,A,95.86,95.86,65.922,241.983,48,0,0
2.53,A,111.84,111.84,90.904,254.435,56,0,0
3.03,A,63.91,63.91,76.779,191.854,32,0,0
3.53,A,111.85,111.85,115.786,374.387,56,0,0
4.03,A,63.91,63.91,78.563,295.756,32,0,0
4.53,A,111.84,111.84,86.905,232.495,56,0,0
5.03,A,95.85,95.85,72.929,198.039,48,0,0
5.64,B,0.00,0.00,0.000,0.000,0,0,0
6.14,B,31.96,31.96,111.474,197.751,16,0,0
6.64,B,111.84,111.84,108.974,286.161,56,0,0
7.14,B,95.85,95.85,110.779,341.176,48,0,0
7.64,B,63.91,63.91,83.520,262.477,32,0,0
8.14,B,95.86,95.86,98.438,339.859,48,0,0
8.64,B,95.87,95.87,62.059,257.087,48,0,0
9.14,B,95.86,95.86,109.620,443.391,48,0,0
9.64,B,111.84,111.84,93.505,258.632,56,0,0
10.14,B,95.86,95.86,79.728,233.979,48,0,0
10.70,A,79.91,79.91,39.037,187.329,40,0,0
11.20,A,111.85,111.85,67.077,243.664,56,0,0
11.71,A,127.82,127.82,71.328,328.697,64,0,0
12.21,A,95.86,95.86,59.137,217.336,48,0,0
12.71,A,127.90,127.90,65.096,293.519,64,0,0
13.21,A,95.86,95.86,91.709,309.016,48,0,0
13.71,A,79.89,79.89,99.802,322.390,40,0,0
14.21,A,79.89,79.89,88.380,267.327,40,0,0
14.71,A,127.82,127.82,70.505,261.164,64,0,0
15.21,A,95.86,95.86,79.283,237.121,48,0,0
15.80,B,15.98,15.98,44.381,90.340,8,0,0
16.30,B,143.79,143.79,77.451,308.991,72,0,0
16.80,B,111.84,111.84,70.094,264.963,56,0,0
17.30,B,127.82,127.82,61.189,263.911,64,0,0
17.80,B,79.88,79.88,72.348,205.347,40,0,0
18.30,B,159.77,159.77,68.704,288.867,80,0,0
18.80,B,127.81,127.81,59.614,238.218,64,0,0
19.30,B,63.91,63.91,78.140,201.440,32,0,0
19.80,B,143.79,143.79,80.293,308.470,72,0,0
20.30,B,79.94,79.94,76.107,204.888,40,0,0
20.83,A,47.94,47.94,51.829,143.371,24,0,0
21.33,A,111.84,111.84,89.751,304.414,56,0,0
21.83,A,95.86,95.86,62.364,229.385,48,0,0
22.33,A,111.85,111.85,82.169,304.147,56,0,0
22.83,A,143.80,143.80,58.305,207.965,72,0,0
23.34,A,111.83,111.83,64.762,234.400,56,0,0
23.84,A,159.78,159.78,53.950,202.886,80,0,0
24.34,A,191.73,191.73,48.142,212.264,96,0,0
24.84,A,95.85,95.85,54.090,220.959,48,0,0
25.34,A,95.86,95.86,64.375,201.645,48,0,0
25.96,B,15.98,15.98,43.720,129.680,8,0,0
26.46,B,143.80,143.80,71.615,218.695,72,0,0
26.96,B,111.84,111.84,67.398,253.867,56,0,0
27.46,B,95.87,95.87,80.633,256.889,48,0,0
27.96,B,111.96,111.96,71.961,210.771,56,0,0
28.46,B,143.80,143.80,67.907,286.922,72,0,0
28.96,B,95.86,95.86,77.345,225.528,48,0,0
29.46,B,127.82,127.82,59.847,225.771,64,0,0
29.96,B,127.82,127.82,68.555,290.455,64,0,0
30.46,B,127.82,127.82,55.446,184.588,64,0,0
31.07,A,47.95,47.95,49.865,141.756,24,0,0
31.57,A,95.87,95.87,69.205,198.778,48,0,0
32.07,A,111.84,111.84,80.450,309.291,56,0,0
32.57,A,143.78,143.78,76.551,353.617,72,0,0
33.07,A,127.82,127.82,53.950,258.932,64,0,0
33.57,A,143.79,143.79,53.392,253.300,72,0,0
34.07,A,127.82,127.82,72.367,340.394,64,0,0
34.57,A,127.82,127.82,42.579,206.885,64,0,0
35.07,A,159.83,159.83,62.406,258.681,80,0,0
35.58,A,143.79,143.79,47.311,180.182,72,0,0
36.20,B,79.91,79.91,51.030,164.103,40,0,0
36.70,B,95.87,95.87,62.144,264.947,48,0,0
37.20,B,127.81,127.81,79.568,236.359,64,0,0
37.70,B,95.86,95.86,57.243,211.523,48,0,0
38.20,B,143.79,143.79,66.182,274.018,72,0,0
38.70,B,143.77,143.77,61.434,239.045,72,0,0
39.20,B,143.77,143.77,54.637,365.610,72,0,0
39.70,B,79.88,79.88,75.408,238.438,40,0,0
40.20,B,159.77,159.77,68.415,271.680,80,0,0
40.70,B,127.82,127.82,41.998,163.845,64,0,0
41.27,A,63.93,63.93,54.840,181.655,32,0,0
41.77,A,111.85,111.85,72.483,281.715,56,0,0
42.27,A,127.81,127.81,69.961,228.350,64,0,0
42.77,A,111.84,111.84,54.100,253.579,56,0,0
43.27,A,127.82,127.82,70.447,257.366,64,0,0
43.77,A,175.78,175.78,45.985,209.572,88,0,0
44.28,A,143.79,143.79,49.113,255.354,72,0,0
44.78,A,159.77,159.77,51.770,187.411,80,0,0
45.28,A,111.84,111.84,52.994,185.610,56,0,0
45.78,A,111.84,111.84,63.024,271.927,56,0,0
46.36,B,31.96,31.96,53.375,105.510,16,0,0
46.87,B,127.82,127.82,73.608,257.511,64,0,0
47.37,B,127.82,127.82,76.369,216.402,64,0,0
47.87,B,111.84,111.84,62.641,189.455,56,0,0
48.37,B,111.83,111.83,66.046,258.118,56,0,0
48.87,B,143.80,143.80,57.362,256.693,72,0,0
49.37,B,111.84,111.84,71.011,229.558,56,0,0
49.87,B,127.82,127.82,64.783,203.168,64,0,0
50.37,B,111.84,111.84,56.378,240.549,56,0,0
50.87,B,159.77,159.77,68.285,233.607,80,0,0
51.45,A,0.00,0.00,0.000,0.000,0,0,0
51.95,A,111.85,111.85,86.865,314.976,56,0,0
52.45,A,143.80,143.80,63.489,200.931,72,0,0
52.95,A,47.93,47.93,98.914,211.599,24,0,0
