Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
0.53,A,0.00,0.00,0.000,0.000,0,0,0
1.03,A,15.98,15.98,122.991,159.763,8,0,0
1.53,A,95.87,95.87,154.287,502.076,48,0,0
2.03,A,111.84,111.84,87.796,286.163,56,0,0
2.53,A,79.89,79.89,70.409,233.373,40,0,0
3.03,A,79.89,79.89,81.348,235.138,40,0,0
3.53,A,95.87,95.87,126.614,375.315,48,0,0
4.03,A,63.91,63.91,81.609,277.415,32,0,0
4.53,A,111.94,111.94,85.476,315.617,56,0,0
5.03,A,47.93,47.93,102.778,355.684,24,0,0
5.63,B,0.00,0.00,0.000,0.000,0,0,0
6.13,B,15.98,15.98,106.147,201.211,8,0,0
6.63,B,95.86,95.86,153.923,400.071,48,0,0
7.13,B,111.88,111.88,97.932,342.933,56,0,0
7.63,B,63.91,63.91,88.600,255.844,32,0,0
8.13,B,95.86,95.86,86.578,298.914,48,0,0
8.63,B,63.92,63.92,87.547,291.133,32,0,0
9.13,B,95.85,95.85,90.169,396.809,48,0,0
9.63,B,95.86,95.86,98.802,288.403,48,0,0
10.13,B,63.93,63.93,116.600,332.609,32,0,0
10.75,A,79.91,79.91,33.392,232.244,40,0,0
11.25,A,111.84,111.84,78.925,325.436,56,0,0
11.75,A,79.89,79.89,78.852,232.493,40,0,0
12.25,A,79.89,79.89,73.158,200.213,40,0,0
12.75,A,95.87,95.87,102.576,295.585,48,0,0
13.25,A,143.78,143.78,71.771,276.309,72,0,0
13.75,A,95.87,95.87,68.863,338.230,48,0,0
14.25,A,95.86,95.86,67.859,219.238,48,0,0
14.75,A,95.86,95.86,83.201,302.340,48,0,0
15.26,A,127.82,127.82,81.193,292.869,64,0,0
15.84,B,31.99,31.99,50.930,132.631,16,0,0
16.34,B,127.80,127.80,80.195,324.181,64,0,0
16.84,B,111.84,111.84,68.490,235.757,56,0,0
17.34,B,79.87,79.87,78.492,310.167,40,0,0
17.84,B,111.84,111.84,75.436,225.526,56,0,0
18.34,B,95.86,95.86,85.624,310.960,48,0,0
18.84,B,111.84,111.84,85.040,230.265,56,0,0
19.34,B,63.91,63.91,82.100,209.410,32,0,0
19.84,B,127.82,127.82,74.503,251.378,64,0,0
20.34,B,79.89,79.89,78.977,282.565,40,0,0
21.00,A,47.94,47.94,45.442,118.846,24,0,0
21.50,A,79.89,79.89,83.574,235.579,40,0,0
22.00,A,143.79,143.79,73.718,458.689,72,0,0
22.50,A,159.77,159.77,50.385,211.064,80,0,0
23.00,A,175.74,175.74,44.919,223.950,88,0,0
23.50,A,111.84,111.84,61.754,231.074,56,0,0
24.00,A,143.79,143.79,75.848,392.488,72,0,0
24.50,A,127.82,127.82,46.548,189.978,64,0,0
25.00,A,95.86,95.86,71.859,219.807,48,0,0
25.50,A,127.82,127.82,62.163,279.246,64,0,0
26.13,B,15.98,15.98,55.937,166.136,8,0,0
26.63,B,95.88,95.88,84.580,268.880,48,0,0
27.13,B,111.89,111.89,85.724,222.458,56,0,0
27.63,B,127.82,127.82,75.375,221.146,64,0,0
28.13,B,79.89,79.89,68.634,222.196,40,0,0
28.64,B,111.85,111.85,79.366,343.168,56,0,0
29.14,B,127.82,127.82,68.377,214.540,64,0,0
29.64,B,127.81,127.81,57.151,224.078,64,0,0
30.14,B,111.84,111.84,64.773,282.745,56,0,0
30.64,B,111.84,111.84,70.085,279.949,56,0,0
31.23,A,63.92,63.92,48.367,206.085,32,0,0
31.73,A,79.89,79.89,81.239,229.190,40,0,0
32.23,A,159.78,159.78,59.167,261.649,80,0,0
32.74,A,143.79,143.79,65.521,323.750,72,0,0
33.24,A,47.93,47.93,72.594,222.809,24,0,0
33.74,A,127.82,127.82,85.090,383.440,64,0,0
34.24,A,159.78,159.78,60.340,352.328,80,0,0
34.74,A,143.79,143.79,65.089,253.780,72,0,0
35.24,A,111.84,111.84,44.964,199.937,56,0,0
35.74,A,143.78,143.78,63.246,311.853,72,0,0
36.36,B,79.91,79.91,44.325,159.503,40,0,0
36.86,B,111.84,111.84,69.611,302.028,56,0,0
37.36,B,111.84,111.84,65.487,217.939,56,0,0
37.86,B,127.82,127.82,77.538,240.587,64,0,0
38.36,B,79.88,79.88,58.496,210.475,40,0,0
38.86,B,143.79,143.79,70.326,254.593,72,0,0
39.36,B,143.80,143.80,60.086,279.926,72,0,0
39.86,B,79.89,79.89,62.839,212.657,40,0,0
40.36,B,191.72,191.72,66.816,257.518,96,0,0
40.86,B,95.86,95.86,48.745,244.709,48,0,0
41.50,A,47.96,47.96,52.205,198.709,24,0,0
42.00,A,127.83,127.83,73.486,373.295,64,0,0
42.50,A,143.80,143.80,57.181,267.793,72,0,0
43.00,A,127.82,127.82,60.236,226.237,64,0,0
43.50,A,95.86,95.86,63.095,230.657,48,0,0
44.00,A,159.77,159.77,62.589,273.793,80,0,0
44.50,A,143.87,143.87,60.834,265.674,72,0,0
45.00,A,79.89,79.89,33.882,206.924,40,0,0
45.50,A,0.00,0.00,0.000,0.000,0,0,0
46.00,A,127.82,127.82,173.077,1258.924,64,0,0
46.58,B,15.98,15.98,24.251,41.008,8,0,0
47.08,B,127.84,127.84,88.576,319.090,64,0,0
47.58,B,159.78,159.78,55.799,245.412,80,0,0
48.08,B,127.82,127.82,51.077,186.159,64,0,0
48.58,B,127.82,127.82,59.323,193.441,64,0,0
49.08,B,127.82,127.82,64.906,234.915,64,0,0
49.58,B,127.82,127.82,60.387,196.963,64,0,0
50.09,B,79.89,79.89,64.531,246.011,40,0,0
50.59,B,175.75,175.75,66.726,291.168,88,0,0
51.09,B,159.77,159.77,56.340,226.097,80,0,0
51.69,A,31.96,31.96,57.791,134.401,16,0,0
52.19,A,95.87,95.87,80.762,293.736,48,0,0
52.69,A,111.84,111.84,80.804,271.736,56,0,0
53.19,A,143.80,143.80,68.332,317.614,72,0,0
53.69,A,143.80,143.80,50.983,202.635,72,0,0
54.19,A,159.76,159.76,51.816,354.732,80,0,0
54.69,A,127.82,127.82,62.919,208.205,64,0,0
55.19,A,127.82,127.82,59.144,283.327,64,0,0
55.69,A,143.79,143.79,53.342,226.000,72,0,0
56.19,A,95.86,95.86,76.018,244.108,48,0,0
56.78,B,0.00,0.00,0.000,0.000,0,0,0
57.28,B,127.83,127.83,95.270,272.881,64,0,0
57.78,B,143.80,143.80,56.718,225.440,72,0,0
58.28,B,111.93,111.93,58.419,228.694,56,0,0
58.78,B,111.84,111.84,84.090,273.390,56,0,0
59.28,B,95.87,95.87,66.381,167.015,48,0,0
59.78,B,159.78,159.78,62.685,258.695,80,0,0
60.28,B,111.84,111.84,61.089,291.137,56,0,0
60.78,B,143.80,143.80,57.364,224.346,72,0,0
61.29,B,127.83,127.83,60.217,210.059,64,0,0
61.90,A,79.91,79.91,30.251,199.868,40,0,0
62.40,A,159.79,159.79,63.854,272.521,80,0,0
62.90,A,95.86,95.86,58.405,262.121,48,0,0
63.40,A,127.82,127.82,75.391,283.942,64,0,0
63.90,A,127.81,127.81,62.010,278.025,64,0,0
64.40,A,127.82,127.82,64.061,234.215,64,0,0
64.90,A,143.79,143.79,52.144,259.100,72,0,0
65.40,A,159.77,159.77,52.489,283.420,80,0,0
65.91,A,111.83,111.83,57.718,208.542,56,0,0
66.41,A,127.81,127.81,72.482,258.814,64,0,0
67.23,B,47.94,47.94,41.290,156.776,24,0,0
67.73,B,143.81,143.81,72.467,255.000,72,0,0
68.23,B,111.84,111.84,55.581,267.451,56,0,0
68.73,B,111.84,111.84,76.624,225.338,56,0,0
69.23,B,95.86,95.86,73.155,276.336,48,0,0
69.73,B,159.77,159.77,66.446,258.338,80,0,0
70.23,B,63.91,63.91,61.283,174.861,32,0,0
70.73,B,159.77,159.77,68.598,295.456,80,0,0
71.23,B,207.70,207.70,42.868,173.183,104,0,0
71.73,B,111.84,111.84,54.844,259.577,56,0,0
72.34,A,95.89,95.89,39.012,127.157,48,0,0
72.84,A,111.84,111.84,64.639,293.857,56,0,0
73.34,A,143.79,143.79,50.393,273.853,72,0,0
73.84,A,159.77,159.77,66.707,366.645,80,0,0
74.34,A,127.81,127.81,55.670,246.246,64,0,0
74.85,A,127.82,127.82,52.335,306.151,64,0,0
75.35,A,191.72,191.72,48.926,248.081,96,0,0
75.85,A,159.77,159.77,48.102,206.116,80,0,0
76.35,A,111.83,111.83,57.957,207.226,56,0,0
76.85,A,111.84,111.84,74.618,265.381,56,0,0
77.51,B,15.98,15.98,57.211,102.960,8,0,0
78.01,B,127.82,127.82,71.390,231.377,64,0,0
78.51,B,127.82,127.82,70.864,290.116,64,0,0
79.01,B,79.89,79.89,79.406,211.905,40,0,0
79.51,B,143.79,143.79,71.044,231.939,72,0,0
80.01,B,63.91,63.91,86.188,266.945,32,0,0
80.51,B,95.86,95.86,86.244,233.424,48,0,0
81.01,B,127.82,127.82,74.534,249.319,64,0,0
81.51,B,15.98,15.98,80.945,71.663,8,0,0
82.01,B,127.88,127.88,100.650,398.770,64,0,0
82.60,A,15.98,15.98,60.779,160.147,8,0,0
83.10,A,159.78,159.78,68.919,243.007,80,0,0
83.60,A,143.78,143.78,54.883,259.251,72,0,0
84.10,A,127.83,127.83,50.039,214.476,64,0,0
84.60,A,79.89,79.89,61.936,201.453,40,0,0
85.10,A,143.80,143.80,98.017,408.502,72,0,0
85.60,A,95.87,95.87,65.962,329.245,48,0,0
86.10,A,111.84,111.84,65.257,333.836,56,0,0
86.60,A,111.84,111.84,67.083,254.863,56,0,0
87.10,A,143.85,143.85,72.624,368.615,72,0,0
87.73,B,79.91,79.91,43.944,141.030,40,0,0
88.23,B,111.85,111.85,75.313,218.378,56,0,0
88.73,B,111.84,111.84,72.116,198.989,56,0,0
89.23,B,143.80,143.80,57.532,196.106,72,0,0
89.74,B,63.91,63.91,83.200,215.968,32,0,0
90.24,B,159.77,159.77,69.422,280.335,80,0,0
90.74,B,127.82,127.82,45.620,174.350,64,0,0
91.24,B,143.80,143.80,59.907,325.498,72,0,0
91.74,B,175.75,175.75,58.052,208.466,88,0,0
92.24,B,63.91,63.91,68.831,177.803,32,0,0
92.86,A,31.96,31.96,58.562,146.276,16,0,0
93.36,A,111.84,111.84,73.138,287.145,56,0,0
93.86,A,95.87,95.87,77.243,263.087,48,0,0
94.36,A,127.81,127.81,74.483,349.952,64,0,0
94.86,A,159.73,159.73,62.759,246.604,80,0,0
95.36,A,111.84,111.84,56.853,285.194,56,0,0
95.86,A,175.75,175.75,52.108,358.073,88,0,0
96.36,A,159.77,159.77,41.447,248.549,80,0,0
96.87,A,111.84,111.84,41.367,212.368,56,0,0
97.37,A,111.84,111.84,68.362,208.053,56,0,0
97.97,B,63.93,63.93,47.883,137.383,32,0,0
98.47,B,79.89,79.89,95.480,224.224,40,0,0
98.97,B,95.86,95.86,69.660,284.415,48,0,0
99.47,B,127.81,127.81,80.867,230.051,64,0,0
99.97,B,111.84,111.84,72.828,227.228,56,0,0
100.47,B,127.81,127.81,69.592,343.230,64,0,0
100.97,B,111.84,111.84,64.221,149.101,56,0,0
101.47,B,111.84,111.84,60.009,214.513,56,0,0
101.97,B,79.89,79.89,85.047,232.658,40,0,0
102.47,B,143.80,143.80,73.323,214.824,72,0,0
103.07,A,63.93,63.93,42.589,186.258,32,0,0
103.57,A,143.80,143.80,69.141,262.834,72,0,0
104.07,A,127.82,127.82,66.970,218.244,64,0,0
104.57,A,127.81,127.81,52.171,221.318,64,0,0
105.07,A,175.75,175.75,47.424,222.641,88,0,0
105.57,A,143.80,143.80,54.024,223.256,72,0,0
106.07,A,111.85,111.85,68.568,201.007,56,0,0
106.57,A,111.84,111.84,74.504,349.736,56,0,0
107.07,A,127.82,127.82,54.306,216.307,64,0,0
107.57,A,159.77,159.77,61.286,260.406,80,0,0
108.20,B,63.92,63.92,47.981,182.205,32,0,0
108.70,B,127.82,127.82,56.440,206.849,64,0,0
109.21,B,111.84,111.84,81.196,271.871,56,0,0
109.71,B,159.78,159.78,58.267,215.046,80,0,0
