Time_Sec,Active_DB,Throughput_MBps,OpsPerSec,LatencyAvg_ms,LatencyP99_ms,LatencySamples,ConnectErrors,IoErrors
0.53,A,0.00,0.00,0.000,0.000,0,0,0
1.03,A,0.00,0.00,0.000,0.000,0,0,0
1.54,A,127.82,127.82,151.171,488.096,64,0,0
2.04,A,95.87,95.87,78.236,241.062,48,0,0
2.54,A,79.89,79.89,70.068,228.101,40,0,0
3.04,A,79.89,79.89,76.962,250.064,40,0,0
3.54,A,127.82,127.82,100.719,356.426,64,0,0
4.04,A,79.89,79.89,82.546,288.434,40,0,0
4.54,A,95.86,95.86,92.953,271.341,48,0,0
5.04,A,63.91,63.91,73.642,225.621,32,0,0
5.65,B,0.00,0.00,0.000,0.000,0,0,0
6.15,B,31.96,31.96,109.797,278.728,16,0,0
6.66,B,95.86,95.86,157.894,431.143,48,0,0
7.16,B,95.87,95.87,79.858,306.270,48,0,0
7.66,B,79.88,79.88,90.309,221.203,40,0,0
8.16,B,79.89,79.89,111.025,298.330,40,0,0
8.66,B,79.89,79.89,69.885,231.139,40,0,0
9.16,B,63.92,63.92,136.706,449.692,32,0,0
9.66,B,63.91,63.91,121.208,292.383,32,0,0
10.16,B,95.87,95.87,100.227,299.371,48,0,0
10.82,A,63.93,63.93,34.154,157.064,32,0,0
11.32,A,111.85,111.85,75.595,295.964,56,0,0
11.82,A,143.81,143.81,71.682,338.866,72,0,0
12.32,A,63.91,63.91,51.925,169.107,32,0,0
12.82,A,127.83,127.83,89.115,352.286,64,0,0
13.32,A,63.91,63.91,82.719,196.368,32,0,0
13.82,A,79.89,79.89,115.131,290.082,40,0,0
14.32,A,79.89,79.89,94.582,292.995,40,0,0
14.82,A,111.84,111.84,75.669,290.116,56,0,0
15.32,A,79.89,79.89,82.387,310.511,40,0,0
15.95,B,47.94,47.94,50.801,133.368,24,0,0
16.45,B,143.81,143.81,73.114,275.118,72,0,0
16.95,B,63.91,63.91,75.237,258.222,32,0,0
17.45,B,79.90,79.90,92.358,259.429,40,0,0
17.95,B,111.85,111.85,99.422,298.416,56,0,0
18.45,B,111.85,111.85,79.997,223.570,56,0,0
18.95,B,79.89,79.89,62.141,227.063,40,0,0
19.45,B,95.87,95.87,80.411,253.431,48,0,0
19.95,B,95.87,95.87,82.906,242.930,48,0,0
20.45,B,79.90,79.90,105.380,293.355,40,0,0
21.04,A,0.00,0.00,0.000,0.000,0,0,0
21.54,A,95.96,95.96,85.268,208.392,48,0,0
22.04,A,111.85,111.85,100.889,277.473,56,0,0
22.55,A,95.87,95.87,66.397,247.373,48,0,0
23.05,A,175.77,175.77,62.854,254.699,88,0,0
23.55,A,127.84,127.84,60.241,278.087,64,0,0
24.05,A,79.89,79.89,69.253,232.232,40,0,0
24.55,A,111.85,111.85,79.524,228.146,56,0,0
25.05,A,95.87,95.87,56.558,161.441,48,0,0
25.55,A,143.81,143.81,83.248,311.862,72,0,0
26.18,B,0.00,0.00,0.000,0.000,0,0,0
26.68,B,63.92,63.92,90.946,224.431,32,0,0
27.19,B,111.85,111.85,105.769,284.672,56,0,0
27.69,B,47.94,47.94,82.745,185.527,24,0,0
28.19,B,111.71,111.71,106.176,285.656,56,0,0
28.69,B,95.87,95.87,84.517,184.922,48,0,0
29.19,B,63.91,63.91,103.755,256.365,32,0,0
29.69,B,95.88,95.88,96.998,265.086,48,0,0
30.19,B,95.88,95.88,83.594,224.058,48,0,0
30.69,B,143.81,143.81,79.851,206.617,72,0,0
31.31,A,15.98,15.98,40.890,90.205,8,0,0
31.81,A,95.87,95.87,90.072,232.890,48,0,0
32.32,A,95.87,95.87,78.916,240.719,48,0,0
32.82,A,95.87,95.87,86.249,249.633,48,0,0
33.32,A,111.85,111.85,88.653,330.429,56,0,0
33.82,A,63.91,63.91,79.111,262.806,32,0,0
34.32,A,127.83,127.83,95.363,288.667,64,0,0
34.82,A,95.87,95.87,72.641,267.588,48,0,0
35.32,A,79.89,79.89,68.555,221.781,40,0,0
