Time_Sec,Active_DB,Throughput_MBps
150.83,B,23515.97
151.33,B,24389.43
151.83,A,23893.18
152.33,A,24206.04
152.83,A,24294.10
153.33,A,23530.86
153.83,A,23135.87
154.33,A,23551.25
154.83,A,23958.38
155.33,A,24523.16
155.83,A,25838.41
156.34,A,23033.31
156.84,B,23775.43
157.34,B,24599.22
157.84,B,22677.75
158.34,B,23000.26
158.84,B,22346.30
159.34,B,23750.32
159.84,B,24248.38
160.34,B,23667.67
160.84,B,24808.87
161.34,B,23388.29
161.85,A,23609.44
162.35,A,23501.73
162.85,A,24198.18
163.35,A,24117.80
163.85,A,23262.94
164.35,A,23786.48
164.85,A,24491.00
165.35,A,25073.24
165.85,A,25543.40
166.35,A,23908.87
166.86,B,24472.30
167.36,B,22931.20
167.86,B,24102.97
168.36,B,24492.16
168.86,B,23697.26
169.36,B,24616.05
169.86,B,24162.93
170.36,B,24876.35
170.86,B,24065.14
171.36,B,23932.17
171.87,A,23911.17
172.37,A,24849.81
172.87,A,24138.04
173.37,A,23675.01
173.87,A,23411.46
174.37,A,23599.85
174.87,A,23690.04
175.37,A,23184.71
175.87,A,22921.76
176.37,A,23928.00
176.88,B,23547.18
177.38,B,24757.37
177.88,B,22780.39
178.38,B,23802.60
178.88,B,23603.11
179.38,B,23645.20
179.88,B,24286.27
180.38,B,23582.98
180.88,B,24592.98
181.38,B,24196.81
