--- wan_reader ---
ZipfianWorkload: start initializing zipfian variables, might take a while
Zipfian (Warm-Up) (epoch 0, progress 0.00%): UPDATE throughput 0.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 0.00 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 0.00 ops/sec
Zipfian (Warm-Up) (epoch 1, progress 0.00%): UPDATE throughput 11.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 347.95 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 358.95 ops/sec
Zipfian (Warm-Up) (epoch 2, progress 0.00%): UPDATE throughput 20.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 401.94 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 421.94 ops/sec
Zipfian (Warm-Up) (epoch 3, progress 0.00%): UPDATE throughput 27.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 446.94 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 473.93 ops/sec
Zipfian (Warm-Up) (epoch 4, progress 0.00%): UPDATE throughput 20.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 467.94 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 487.93 ops/sec
Zipfian (Warm-Up) (epoch 5, progress 0.01%): UPDATE throughput 20.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 446.94 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 466.94 ops/sec
Zipfian (Warm-Up) (epoch 6, progress 0.01%): UPDATE throughput 19.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 500.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 519.93 ops/sec
Zipfian (Warm-Up) (epoch 7, progress 0.01%): UPDATE throughput 20.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 416.94 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 436.94 ops/sec
Zipfian (Warm-Up) (epoch 8, progress 0.01%): UPDATE throughput 29.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 517.93 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 546.92 ops/sec
Zipfian (Warm-Up) (epoch 9, progress 0.01%): UPDATE throughput 31.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 568.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 599.92 ops/sec
Zipfian (Warm-Up) (epoch 10, progress 0.01%): UPDATE throughput 30.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 638.91 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 668.91 ops/sec
Zipfian (Warm-Up) (epoch 11, progress 0.01%): UPDATE throughput 24.00 ops/sec, INSERT throughput 0.00 ops/sec, READ throughput 576.92 ops/sec, SCAN throughput 0.00 ops/sec, READ_MODIFY_WRITE throughput 0.00 ops/sec, total throughput 600.91 ops/sec
